iteration,reward,done_rate,edge_reset_rate,vx_err,weighted_metric_reward,selector_reference_penalty,orientation_penalty,slip_penalty,lateral_velocity_penalty,clearance_reward,policy_loss,value_loss,entropy,log_std_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_action_smoothness,score_action_magnitude,score_survival,gait_pronk_ratio,gait_trot_ratio,gait_bound_ratio,gait_pace_ratio,flat_trot_efficiency_trot_ratio,flat_trot_efficiency_count,flat_trot_efficiency_pronk_ratio,flat_trot_efficiency_bound_ratio,flat_trot_efficiency_pace_ratio,ramp_up_trot_robustness_trot_ratio,ramp_up_trot_robustness_count,ramp_up_trot_robustness_pronk_ratio,ramp_up_trot_robustness_bound_ratio,ramp_up_trot_robustness_pace_ratio,rough_slope_trot_robustness_trot_ratio,rough_slope_trot_robustness_count,rough_slope_trot_robustness_pronk_ratio,rough_slope_trot_robustness_bound_ratio,rough_slope_trot_robustness_pace_ratio,push_lateral_pace_recovery_pace_ratio,push_lateral_pace_recovery_count,push_lateral_pace_recovery_pronk_ratio,push_lateral_pace_recovery_trot_ratio,push_lateral_pace_recovery_bound_ratio,stepping_stones_easy_bound_highspeed_bound_ratio,stepping_stones_easy_bound_highspeed_count,stepping_stones_easy_bound_highspeed_pronk_ratio,stepping_stones_easy_bound_highspeed_trot_ratio,stepping_stones_easy_bound_highspeed_pace_ratio,frequency_mean,duration_mean,footswing_height_mean,stance_width_mean,body_pitch_mean,action_clip_rate
0,0.6378548117354512,0.001708984375,4.882812572759576e-05,0.571833343245089,0.6378548117354512,0.379638671875,0.03400297721964307,0.15798657966661267,0.05915569665376097,0.7061959877610207,-0.021799557012855075,27.79417645931244,4.981424540281296,-0.6898234486579895,0.47542099468410015,0.38702414371073246,0.6571384947746992,0.25925566954538226,0.2780262418091297,0.5403175661340356,0.6061352733522654,0.40548758170416477,0.661534309387207,0.40879489528015256,0.7061959877610207,0.14540310646407306,0.7636720035225153,0.9997070319950581,0.2706298828125,0.236328125,0.2615966796875,0.2314453125,0.23858174681663513,52,0.26141828298568726,0.2608173191547394,0.23918269574642181,0.23223039507865906,51,0.280637264251709,0.26348039507865906,0.2236519753932953,0.22671569883823395,51,0.25183823704719543,0.2714460790157318,0.25,0.2395833432674408,51,0.27450981736183167,0.240196093916893,0.24571079015731812,0.2665441334247589,51,0.28492647409439087,0.24387255311012268,0.20465686917304993,2.8871355056762695,0.5044047832489014,0.09147242456674576,0.34684133529663086,-0.0032160761766135693,0.08879394829273224
1,0.6482417769730091,0.0208740234375,0.004052734433571459,0.5352275464683771,0.6482417769730091,0.38250732421875,0.03682378097437322,0.14493917836807668,0.05780038237571716,0.6921341065317392,-0.009584902931237593,18.502495527267456,4.994853496551514,-0.6871079206466675,0.5212641544640064,0.4099015397951007,0.6317361183464527,0.27200067695230246,0.2809918629936874,0.5636135935783386,0.6212840396910906,0.4240595567971468,0.6735750287771225,0.4202032322064042,0.6921341065317392,0.13960371701978147,0.7542870528995991,0.9998779315501451,0.28173828125,0.2314453125,0.2518310546875,0.2349853515625,0.22355769574642181,52,0.2884615361690521,0.24639424681663513,0.24158655107021332,0.23223039507865906,51,0.2824755012989044,0.2542892098426819,0.23100490868091583,0.240196093916893,51,0.2720588445663452,0.2591911852359772,0.22855393588542938,0.24264706671237946,51,0.2714460790157318,0.22303922474384308,0.26286765933036804,0.23651961982250214,51,0.29411765933036804,0.23835785686969757,0.23100490868091583,2.8485617637634277,0.5109696984291077,0.0945369303226471,0.3509295582771301,0.0004425710649229586,0.09670410305261612
2,0.6665406636893749,0.0167236328125,0.0032714844674046617,0.4749835720285773,0.6665406636893749,0.38409423828125,0.03428299253573641,0.1314107272773981,0.0467254058457911,0.7004302199929953,-0.011923531856155023,27.05424726009369,5.006421625614166,-0.6857008337974548,0.5662032403051853,0.4231317015364766,0.6458349246531725,0.27308178739622235,0.2886747866868973,0.578923225402832,0.6463975887745619,0.42997546400874853,0.6858755331486464,0.4244317961856723,0.7004302199929953,0.1395482423249632,0.7559012919664383,0.9999267589300871,0.293212890625,0.219482421875,0.272705078125,0.214599609375,0.21153846383094788,52,0.29807692766189575,0.27223557233810425,0.21814905107021332,0.22610294818878174,51,0.28860294818878174,0.27389708161354065,0.21139706671237946,0.22058823704719543,51,0.29963237047195435,0.2757353186607361,0.20404411852359772,0.22120098769664764,51,0.2904411852359772,0.22671569883823395,0.2616421580314636,0.28002452850341797,51,0.28921568393707275,0.21262255311012268,0.21813726425170898,2.8595166206359863,0.5026227235794067,0.09285576641559601,0.3487142324447632,-0.0013292818330228329,0.09567870944738388
3,0.6601136960089207,0.017822265625,0.0034667969612200977,0.49343257304280996,0.6601136960089207,0.38262939453125,0.03475147491553798,0.1405703159980476,0.04614453192334622,0.6982140243053436,-0.016190187714528292,31.798131585121155,5.010755032300949,-0.6841474175453186,0.5491380207240582,0.4211879661306739,0.6422178875654936,0.26742320507764816,0.2898165928199887,0.5773547179996967,0.6416455954313278,0.4311514599248767,0.6755489856004715,0.4235836723819375,0.6982140243053436,0.14083659159950912,0.7587852515280247,0.9999023452401161,0.281494140625,0.2371826171875,0.260986328125,0.2203369140625,0.2475961595773697,52,0.26923078298568726,0.2764423191547394,0.20673078298568726,0.23590686917304993,51,0.2751225531101227,0.2653186321258545,0.2236519753932953,0.23284314572811127,51,0.28125,0.2549019753932953,0.23100490868091583,0.21017158031463623,51,0.28125,0.24754902720451355,0.2610294222831726,0.24693627655506134,51,0.3008578419685364,0.22181373834609985,0.23039215803146362,2.8833107948303223,0.5023503303527832,0.09234204143285751,0.35073554515838623,-0.004903457593172789,0.0958251953125
4,0.6596727445721626,0.0179443359375,0.0034912110022560228,0.49487097561359406,0.6596727445721626,0.38116455078125,0.03238148830132559,0.13379699713550508,0.04763756482861936,0.7033615335822105,-0.010961345047689974,36.47780990600586,5.01669305562973,-0.682330310344696,0.5445581711828709,0.41425856947898865,0.6471273340284824,0.27074077585712075,0.2859873939305544,0.5686774179339409,0.6363079734146595,0.4293265538290143,0.6764029785990715,0.4253920326009393,0.7033615335822105,0.1372230015695095,0.754238149151206,0.9999023452401161,0.2884521484375,0.2291259765625,0.2564697265625,0.2259521484375,0.23016828298568726,52,0.26382213830947876,0.25661057233810425,0.24939905107021332,0.22549019753932953,51,0.3008578419685364,0.2598039209842682,0.2138480395078659,0.24938726425170898,51,0.2757353186607361,0.26899510622024536,0.20588235557079315,0.22855393588542938,51,0.30882352590560913,0.22058823704719543,0.24203431606292725,0.2549019753932953,51,0.293504923582077,0.21997550129890442,0.23161765933036804,2.849604845046997,0.5028635263442993,0.09320652484893799,0.35216861963272095,-0.0021052376832813025,0.10065918415784836
5,0.6668085362762213,0.0179443359375,0.0035400391243456397,0.47899286542087793,0.6668085362762213,0.38018798828125,0.032839982013683766,0.13806362356990576,0.049297085497528315,0.7070018295198679,-0.014101247870712541,39.97716307640076,5.022383272647858,-0.6810934543609619,0.5586903020739555,0.4161345036700368,0.6562911737710238,0.2745707272551954,0.2924232902005315,0.5718238968402147,0.6443659123033285,0.43140456546097994,0.6816897392272949,0.4249965036287904,0.7070018295198679,0.13772813230752945,0.7476612217724323,0.9999511726200581,0.280517578125,0.22900390625,0.26220703125,0.228271484375,0.24519231915473938,52,0.28245192766189575,0.2602163553237915,0.21213942766189575,0.21629902720451355,51,0.293504923582077,0.2610294222831726,0.2291666716337204,0.22058823704719543,51,0.27328431606292725,0.27941176295280457,0.22671569883823395,0.24877451360225677,51,0.28308823704719543,0.2248774617910385,0.24325981736183167,0.2671568691730499,51,0.2702206075191498,0.23774510622024536,0.2248774617910385,2.837177276611328,0.5016649961471558,0.09336590766906738,0.3513764441013336,-0.002320430241525173,0.10478515923023224
6,0.660852387547493,0.01806640625,0.0035400391370785655,0.4903546357527375,0.660852387547493,0.3858642578125,0.03386947768740356,0.13245926215313375,0.05012190295383334,0.7044677734375,-0.01600826036883518,41.60636115074158,5.0259996354579926,-0.6796870231628418,0.5490919686853886,0.4189056046307087,0.6483206115663052,0.2682411973364651,0.2825063085183501,0.5740523934364319,0.633042337372899,0.4293540632352233,0.6824146527796984,0.4223620602861047,0.7044677734375,0.1364654852077365,0.7431447058916092,0.9999267589300871,0.2933349609375,0.2222900390625,0.257080078125,0.227294921875,0.2133413553237915,52,0.30048078298568726,0.26201924681663513,0.2241586595773697,0.22120098769664764,51,0.28492647409439087,0.2696078419685364,0.2242647111415863,0.2297794222831726,51,0.27818629145622253,0.2506127655506134,0.24142158031463623,0.22181373834609985,51,0.3026960790157318,0.22794118523597717,0.24754902720451355,0.2555147111415863,51,0.30024510622024536,0.2193627506494522,0.2248774617910385,2.8529648780822754,0.49710631370544434,0.09300132095813751,0.35023072361946106,-0.0035014906898140907,0.10710449516773224
7,0.6620837356895208,0.0181884765625,0.003540039175277343,0.4900526087731123,0.6620837356895208,0.3763427734375,0.03319163742708042,0.1355720495339483,0.04806991631630808,0.7005139086395502,-0.014862937823636457,42.06614327430725,5.034138858318329,-0.6774057745933533,0.5516296736896038,0.4129105256870389,0.6536823809146881,0.27103553526103497,0.2931458568200469,0.5698310490697622,0.6373301763087511,0.4402670720592141,0.6818772945553064,0.42224904894828796,0.7005139086395502,0.13627986889332533,0.7406116649508476,0.9999023452401161,0.279541015625,0.2357177734375,0.26416015625,0.2205810546875,0.23377405107021332,52,0.2914663553237915,0.25661057233810425,0.21814905107021332,0.2549019753932953,51,0.2818627655506134,0.24938726425170898,0.2138480395078659,0.22549019753932953,51,0.27941176295280457,0.2751225531101227,0.21997550129890442,0.24080882966518402,51,0.2659313678741455,0.2352941334247589,0.25796568393707275,0.2818627655506134,51,0.27879902720451355,0.2291666716337204,0.21017158031463623,2.8397769927978516,0.5052844882011414,0.09336250275373459,0.35457754135131836,-0.0033475509844720364,0.11044921725988388
8,0.6699929106980562,0.0179443359375,0.003344726659634034,0.466897944919765,0.6699929106980562,0.37652587890625,0.035510083311237395,0.1291863196529448,0.05075618054252118,0.7018418535590172,-0.023624583933269605,43.13903474807739,5.043048173189163,-0.6755499839782715,0.5730908922851086,0.42488235142081976,0.6513673570007086,0.2723699635826051,0.29310421645641327,0.579577224329114,0.6431609578430653,0.4290400976315141,0.6924550998955965,0.427991840057075,0.7018418535590172,0.13338177232071757,0.7401783466339111,0.9997558612376451,0.2816162109375,0.23828125,0.2540283203125,0.22607421875,0.2289663553237915,52,0.29326924681663513,0.2554086744785309,0.22235578298568726,0.24754902720451355,51,0.27879902720451355,0.24325981736183167,0.23039215803146362,0.23835785686969757,51,0.293504923582077,0.2555147111415863,0.21262255311012268,0.2512255012989044,51,0.2647058963775635,0.23713235557079315,0.24693627655506134,0.26899510622024536,51,0.27757352590560913,0.2395833432674408,0.2138480395078659,2.8613340854644775,0.49665510654449463,0.0916515439748764,0.3519287109375,-0.003414299339056015,0.11325683444738388
9,0.6756867300719023,0.0162353515625,0.0031738281813886715,0.45705229230225086,0.6756867300719023,0.3770751953125,0.03310280671576038,0.13138851802796125,0.04402528319042176,0.7097958028316498,-0.016215784300584346,41.39845585823059,5.054066210985184,-0.6734222769737244,0.5897080451250076,0.4339886996895075,0.6555167306214571,0.2726629162207246,0.2947118831798434,0.5901245214045048,0.6474467813968658,0.4447604035958648,0.6916233822703362,0.4290734510868788,0.7097958028316498,0.13056326564401388,0.7403864804655313,0.9999267589300871,0.2684326171875,0.23876953125,0.2655029296875,0.227294921875,0.24038462340831757,52,0.262620210647583,0.2734375,0.22355769574642181,0.24693627655506134,51,0.27389708161354065,0.24938726425170898,0.2297794222831726,0.24632354080677032,51,0.262254923582077,0.26838237047195435,0.22303922474384308,0.23161765933036804,51,0.2757353186607361,0.22058823704719543,0.2720588445663452,0.26409316062927246,51,0.26776960492134094,0.2395833432674408,0.22855393588542938,2.863292694091797,0.5028183460235596,0.09436699002981186,0.35113105177879333,-0.004078952595591545,0.11171875149011612
