gait,gait_id,grid_mode,frequency_residual,frequency,duration_residual,duration,footswing_height_residual,footswing_height,stance_width_residual,stance_width,body_pitch_residual,body_pitch,task_id,condition,cmd_vx,target_gait,samples,reward_mean,weighted_metric_reward_mean,measured_vx_mean,vx_abs_error_mean,vy_abs_mean,yaw_abs_mean,lateral_offset_abs_mean,lateral_vel_abs_mean,lateral_vel_sq_mean,base_z_vel_abs_mean,base_z_vel_sq_mean,roll_rate_abs_mean,roll_rate_sq_mean,pitch_rate_abs_mean,pitch_rate_sq_mean,yaw_rate_abs_mean,yaw_rate_sq_mean,gravity_x_sq_mean,gravity_y_sq_mean,torque_penalty_mean,slip_penalty_mean,mechanical_power_abs_mean,positive_mechanical_power_mean,contact_force_mean_mean,stance_contact_force_mean_mean,peak_contact_force_mean,swing_foot_clearance_mean_mean,scuffing_ratio_mean,foot_impact_vel_sum_mean,foot_impact_vel_sq_sum_mean,foot_impact_count_mean,forward_distance_mean,target_forward_distance_mean,actual_frequency_mean,actual_duration_mean,actual_footswing_height_mean,actual_stance_width_mean,actual_body_pitch_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,done_rate,edge_reset_rate,fall_rate,foot_impact_rate,foot_impact_vel_mean,foot_impact_vel_rms,lateral_vel_rms,base_z_vel_rms,roll_rate_rms,pitch_rate_rms,yaw_rate_rms,orientation_rms,forward_distance_ratio,progress_deficit,transport_cost_proxy,progress_score,yaw_score,orientation_score,lateral_score,slip_score,energy_score,impact_score,scuffing_score,smoothness_score,survival_score,neutral_score,pareto_objectives
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.04999999701976776,-1.0,0.2900000214576721,1.0,0.03999999910593033,push_lateral_pace_recovery,push_lateral,1.8,pacing,1000,0.6990697383880615,0.6990697383880615,1.3947138786315918,0.41527241468429565,0.06807239353656769,0.1553352177143097,1.4110925197601318,0.06807239353656769,0.01091053057461977,0.48616570234298706,0.33013269305229187,0.5826641321182251,0.7546167373657227,0.6451265811920166,0.8843075037002563,0.1553352177143097,0.056520480662584305,0.007215190678834915,0.0018749679438769817,0.45468127727508545,0.028807276859879494,253.58108520507812,172.24081420898438,35.217689514160156,41.91986083984375,347.0139465332031,0.03975573554635048,0.18500003218650818,0.704785943031311,2.376824378967285,1.0429999828338623,0.027894271537661552,0.03599998727440834,2.6170339584350586,0.5,0.05127796530723572,0.29170387983322144,0.038296014070510864,0.6872509717941284,0.7758452892303467,0.8941364288330078,0.4727787375450134,0.5038174986839294,0.8752106428146362,0.42484068870544434,0.2226816713809967,0.7746909856796265,0.5319527387619019,0.14097486436367035,0.9749249219894409,0.9523158669471741,0.06910381466150284,0.1694343090057373,1.0,0.02800000086426735,0.007000000216066837,0.021000001579523087,1.043,0.6757295193402445,1.509580849786518,0.10445348522007186,0.5745717475235724,0.8686867889899803,0.9403762564528394,0.23774036397419834,0.09534232335490832,0.13947135768830776,0.04052857868373394,181.8158470279771,0.5016739964485168,0.7856135368347168,0.83376544713974,0.19606617093086243,0.5620606541633606,0.4027808904647827,0.565690279006958,0.396531343460083,0.9523158669471741,0.9789999984204769,0.6293942146958449,"progress_score,survival_score,lateral_score,yaw_score,orientation_score"
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.04999999701976776,0.0,0.33000001311302185,-1.0,-0.03999999910593033,push_lateral_pace_recovery,push_lateral,1.8,pacing,1000,0.7071200609207153,0.7071200609207153,1.4163955450057983,0.3937349319458008,0.06771602481603622,0.16103434562683105,1.2924573421478271,0.06771602481603622,0.012011177837848663,0.48615920543670654,0.3339725732803345,0.53863525390625,0.6288193464279175,0.5740221738815308,0.7387740612030029,0.16103434562683105,0.06804332137107849,0.008228453807532787,0.0014569088816642761,0.4590708613395691,0.032765068113803864,248.05471801757812,169.3177947998047,35.456642150878906,41.35038757324219,205.77430725097656,0.03828231245279312,0.16958335041999817,0.7021493315696716,2.337671995162964,1.0460000038146973,0.02832788974046707,0.03599998727440834,2.616194248199463,0.5,0.05121498554944992,0.33000147342681885,-0.03838000446557999,0.6951385140419006,0.765740692615509,0.8450816869735718,0.5146116018295288,0.5217143297195435,0.869969367980957,0.4613229036331177,0.22147603332996368,0.7722735404968262,0.5270277261734009,0.14018741250038147,0.9766541719436646,0.9589517116546631,0.12247823178768158,0.21379272639751434,1.0,0.027000000700354576,0.008999999612569809,0.018000001087784767,1.046,0.6712708336445388,1.4949474737698258,0.10959551924165815,0.5779036020655474,0.7929813026975588,0.8595196688866421,0.26085114791980213,0.09841424027648166,0.14163944870233536,0.038360487669706345,175.1309645756918,0.5378859043121338,0.7715756297111511,0.8238990306854248,0.2159559428691864,0.5192855596542358,0.3992602825164795,0.5719423890113831,0.4283062815666199,0.9589517116546631,0.9819999989122152,0.6378456551868181,"progress_score,survival_score,lateral_score,yaw_score,orientation_score"
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.04999999701976776,0.0,0.33000001311302185,0.0,0.0,push_lateral_pace_recovery,push_lateral,1.8,pacing,1000,0.7341059446334839,0.7341059446334839,1.4112699031829834,0.4002493917942047,0.06425325572490692,0.14235708117485046,1.2767744064331055,0.06425325572490692,0.010172903537750244,0.4939359724521637,0.3432263135910034,0.5510717034339905,0.6149908304214478,0.6012142300605774,0.8043631315231323,0.14235708117485046,0.04669864475727081,0.006399296224117279,0.001405098126269877,0.470772922039032,0.03206667676568031,254.43238830566406,174.53689575195312,34.85858917236328,40.3666877746582,210.0791473388672,0.03930416703224182,0.18125003576278687,0.7176722288131714,2.445990562438965,1.0420000553131104,0.028225388377904892,0.03599998727440834,2.6173157691955566,0.5,0.051299117505550385,0.33000147342681885,0.0,0.6962124705314636,0.7964622974395752,0.8802629709243774,0.4995364248752594,0.5135260820388794,0.8906742334365845,0.4766300618648529,0.21618232131004333,0.7674387693405151,0.5227328538894653,0.14123937487602234,0.9749249219894409,0.9605976343154907,0.23916561901569366,0.32426077127456665,1.0,0.029000001028180122,0.005000000353902578,0.024000000208616257,1.042,0.6887449531774832,1.5321226098043617,0.100860812696261,0.5858551984842358,0.7842135107363605,0.8968629390955635,0.21609869216927438,0.08834248327043538,0.14112694188952446,0.03887299448251724,180.28612934479528,0.5268716216087341,0.8165596127510071,0.8554840087890625,0.22758477926254272,0.5265897512435913,0.39002445340156555,0.5560762286186218,0.4040364623069763,0.9605976343154907,0.9759999997913837,0.6477244135278922,"progress_score,survival_score,lateral_score,yaw_score,orientation_score"
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,-1.0,0.04999999701976776,1.0,0.3700000047683716,0.0,0.0,push_lateral_pace_recovery,push_lateral,1.8,pacing,1000,0.7125231027603149,0.7125231027603149,1.4208106994628906,0.3969552516937256,0.06553830206394196,0.1587774008512497,1.2861249446868896,0.06553830206394196,0.01052237767726183,0.49210643768310547,0.3415122628211975,0.5202156901359558,0.5550986528396606,0.6086477041244507,0.8655049800872803,0.1587774008512497,0.0637081116437912,0.0072350045666098595,0.0012440423015505075,0.4815237522125244,0.03183296322822571,253.51983642578125,171.26602172851562,35.58848571777344,41.57978820800781,212.8458251953125,0.03944690525531769,0.17291668057441711,0.8009300231933594,2.7663779258728027,1.0600000619888306,0.02841620147228241,0.03599998727440834,2.616840362548828,0.5,0.05126342177391052,0.368315190076828,0.0,0.6992459893226624,0.7662533521652222,0.8726381063461304,0.5040402412414551,0.5166432857513428,0.8677904605865479,0.46778225898742676,0.21751657128334045,0.7736582159996033,0.5157610177993774,0.1407928764820099,0.9757895469665527,0.9574213027954102,0.12370732426643372,0.21882709860801697,1.0,0.02800000086426735,0.009000000543892384,0.01900000125169754,1.06,0.7555942751326651,1.6154846021256868,0.10257864142823217,0.5843905054167098,0.745049429796212,0.9303252012534543,0.25240465852236404,0.09208174014515781,0.14208100736141205,0.037918929010629654,178.43322584888995,0.5324352979660034,0.7771649360656738,0.8440184593200684,0.22389625012874603,0.5290569067001343,0.38172778487205505,0.5207695364952087,0.42122700810432434,0.9574213027954102,0.9809999987483025,0.6418543343360607,"progress_score,survival_score,lateral_score,yaw_score,orientation_score"
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,0.0,0.07999999821186066,0.0,0.33000001311302185,-1.0,-0.03999999910593033,push_lateral_pace_recovery,push_lateral,1.8,pacing,1000,0.723312258720398,0.723312258720398,1.4192774295806885,0.39138263463974,0.06610321998596191,0.157455176115036,1.3732407093048096,0.06610321998596191,0.011416886001825333,0.4864722490310669,0.33192113041877747,0.5352829694747925,0.5601222515106201,0.5869160890579224,0.7987624406814575,0.157455176115036,0.05567014217376709,0.008211538195610046,0.0011650626547634602,0.4594387412071228,0.02929065003991127,261.67559814453125,180.82467651367188,35.686119079589844,41.73320007324219,209.99850463867188,0.04135889559984207,0.1770833432674408,0.7603474855422974,2.663912296295166,1.027000069618225,0.028385553508996964,0.03599998727440834,2.616793155670166,0.5,0.08000031858682632,0.33000147342681885,-0.0383201502263546,0.7071719169616699,0.7702739238739014,0.8482366800308228,0.5063174962997437,0.5111653208732605,0.8741084933280945,0.4440805912017822,0.22860650718212128,0.77388596534729,0.5187388062477112,0.5,0.9757895469665527,0.9619383215904236,0.23800626397132874,0.32108408212661743,1.0,0.02800000086426735,0.007000000216066837,0.021000001579523087,1.027,0.7403577527842016,1.6105518989030965,0.1068498292082179,0.57612596749216,0.748413155623697,0.8937351065508491,0.23594521010981997,0.09683285005809499,0.14192776754498482,0.038072168827056885,184.37240858669944,0.5418741703033447,0.7804213762283325,0.8290025591850281,0.2015780806541443,0.5566531419754028,0.39896664023399353,0.522845447063446,0.4125422239303589,0.9619383215904236,0.9789999984204769,0.6359624383159173,"progress_score,survival_score,lateral_score,yaw_score,orientation_score"
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,0.0,0.07999999821186066,1.0,0.3700000047683716,0.0,0.0,push_lateral_pace_recovery,push_lateral,1.8,pacing,1000,0.7346997261047363,0.7346997261047363,1.4268534183502197,0.39106854796409607,0.059217583388090134,0.15464812517166138,1.2817473411560059,0.059217583388090134,0.00808799546211958,0.4861227571964264,0.334663450717926,0.5350156426429749,0.5621396899223328,0.5741604566574097,0.7139818668365479,0.15464812517166138,0.055305711925029755,0.006114879623055458,0.0011253035627305508,0.47817912697792053,0.03083529695868492,264.11761474609375,182.81381225585938,35.31911849975586,41.46983337402344,201.8531036376953,0.041652046144008636,0.1652500033378601,0.7152165174484253,2.550612449645996,1.0540000200271606,0.0285370834171772,0.03599998727440834,2.617154836654663,0.5,0.08000031858682632,0.3682836890220642,0.0,0.708045244216919,0.7740582823753357,0.8856289982795715,0.5002158284187317,0.5074987411499023,0.8764593601226807,0.4775279760360718,0.2197822779417038,0.7711166143417358,0.514656662940979,0.5,0.9757895469665527,0.9615731835365295,0.23872587084770203,0.3245578110218048,1.0,0.02800000086426735,0.004999999888241291,0.023000001907348633,1.054,0.6785735794443786,1.5556142751171615,0.08993328339452296,0.5785010377846578,0.7497597548030521,0.844974477032619,0.2351716648004809,0.0850892659845295,0.142685417085886,0.0373145192861557,185.10493884611932,0.5424070954322815,0.7872885465621948,0.865192174911499,0.2360982596874237,0.5397194027900696,0.38428983092308044,0.5460832118988037,0.43768754601478577,0.9615731835365295,0.9769999980926514,0.6502733135070556,"progress_score,survival_score,lateral_score,yaw_score,orientation_score"
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,1.0,0.10999999940395355,-1.0,0.2900000214576721,-1.0,-0.03999999910593033,push_lateral_pace_recovery,push_lateral,1.8,pacing,1000,0.7121022939682007,0.7121022939682007,1.4111683368682861,0.3987380862236023,0.06514940410852432,0.1524660587310791,1.1498589515686035,0.06514940410852432,0.010692650452256203,0.4871100187301636,0.3439788222312927,0.582923412322998,0.6839243173599243,0.5893943309783936,0.6985138654708862,0.1524660587310791,0.051310501992702484,0.007463095709681511,0.0012849338818341494,0.4534706473350525,0.028317293152213097,265.0457763671875,186.82220458984375,35.03985595703125,41.2564811706543,281.34552001953125,0.04361309856176376,0.17383334040641785,0.7527161836624146,2.8011913299560547,1.0360000133514404,0.02822336181998253,0.03599998727440834,2.616797924041748,0.5,0.10873997956514359,0.2916802763938904,-0.03831963241100311,0.695090651512146,0.7741971015930176,0.8588525056838989,0.5015645623207092,0.48234474658966064,0.8793845176696777,0.5201126933097839,0.22890010476112366,0.7713643312454224,0.5212558507919312,0.8592467904090881,0.9757895469665527,0.9533129930496216,0.06854766607284546,0.16849148273468018,1.0,0.02800000086426735,0.006000000052154064,0.02199999988079071,1.036,0.7265600256017737,1.6443395965358012,0.10340527284551887,0.5864970777687581,0.8269971688947456,0.8357714193910236,0.22651821558696442,0.09353090179997016,0.14111680909991264,0.03888312727212906,187.8200987384583,0.5294226408004761,0.7925822734832764,0.8394901156425476,0.25570982694625854,0.5675957202911377,0.4037573039531708,0.5086662769317627,0.41930079460144043,0.9533129930496216,0.9780000001192093,0.6508675244374152,"progress_score,survival_score,lateral_score,yaw_score,orientation_score"
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,1.0,0.10999999940395355,-1.0,0.2900000214576721,0.0,0.0,push_lateral_pace_recovery,push_lateral,1.8,pacing,1000,0.7252306938171387,0.7252306938171387,1.4464285373687744,0.3663654923439026,0.06005061790347099,0.14895667135715485,1.2754905223846436,0.06005061790347099,0.009961369447410107,0.48856407403945923,0.34432780742645264,0.5694185495376587,0.6311192512512207,0.5723166465759277,0.7242961525917053,0.14895667135715485,0.05529279261827469,0.004510708153247833,0.0012421582359820604,0.45939868688583374,0.03639660030603409,269.64215087890625,188.02603149414062,34.91628646850586,41.55562210083008,217.18678283691406,0.04419057071208954,0.17916667461395264,0.8130306005477905,2.966431140899658,1.0280001163482666,0.028928566724061966,0.03599998727440834,2.61643648147583,0.5,0.10876709222793579,0.29164406657218933,0.0,0.7318776845932007,0.7882074117660522,0.9054703712463379,0.5044069290161133,0.4838780164718628,0.884804368019104,0.487396240234375,0.23203766345977783,0.76939857006073,0.5215781927108765,0.8595856428146362,0.9757895469665527,0.9579557180404663,0.12307096272706985,0.21471765637397766,1.0,0.02800000086426735,0.004000000189989805,0.024000000208616257,1.028,0.7908857174884485,1.69871522530317,0.099806660335922,0.5867945189130968,0.7944301424613877,0.851055904504343,0.23514419537440145,0.07584765249650047,0.14464283362030983,0.03535710275173187,186.41926919488012,0.5845606923103333,0.80101078748703,0.8913150429725647,0.22884328663349152,0.48290660977363586,0.39899858832359314,0.4860672056674957,0.40826722979545593,0.9579557180404663,0.9759999997913837,0.6615261395390217,"progress_score,survival_score,lateral_score,yaw_score,orientation_score"
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,1.0,0.10999999940395355,0.0,0.33000001311302185,0.0,0.0,push_lateral_pace_recovery,push_lateral,1.8,pacing,1000,0.7392497062683105,0.7392497062683105,1.4429693222045898,0.3721367120742798,0.06102699041366577,0.15849356353282928,1.2605319023132324,0.06102699041366577,0.009054038673639297,0.4864937663078308,0.3303365707397461,0.5797187089920044,0.7236564755439758,0.593494176864624,0.768550455570221,0.15849356353282928,0.05959974229335785,0.00526759959757328,0.0011733369901776314,0.46294015645980835,0.032377250492572784,270.76220703125,190.4940185546875,34.60658645629883,39.796775817871094,209.05007934570312,0.04314429312944412,0.17383334040641785,0.7602450251579285,2.818784236907959,1.0480000972747803,0.028859402984380722,0.03599998727440834,2.617418050765991,0.5,0.1086934506893158,0.33000147342681885,0.0,0.7097905874252319,0.7745946645736694,0.8983533978462219,0.499733030796051,0.49183353781700134,0.8786224722862244,0.4936378598213196,0.22328710556030273,0.7675618529319763,0.5172111392021179,0.8586652278900146,0.9740602374076843,0.9597240686416626,0.23947030305862427,0.3234933614730835,1.0,0.030000001192092896,0.007000000216066837,0.023000001907348633,1.048,0.7254246136614384,1.6400242561530958,0.09515271238193528,0.5747491372240119,0.85068000772557,0.8766700950586948,0.24413058451033506,0.08025544584482047,0.1442970149219036,0.03570292145013809,187.64238633817627,0.574679434299469,0.7778651714324951,0.8791332840919495,0.23654596507549286,0.523328959941864,0.39618250727653503,0.510471761226654,0.41930079460144043,0.9597240686416626,0.9769999980926514,0.6571609045450503,"progress_score,survival_score,lateral_score,yaw_score,orientation_score"
pronking,0,action_space,-1.0,2.5999999046325684,0.0,0.5,1.0,0.10999999940395355,0.0,0.33000001311302185,1.0,0.03999999910593033,push_lateral_pace_recovery,push_lateral,1.8,pacing,1000,0.7167761921882629,0.7167761921882629,1.4536200761795044,0.3643978536128998,0.06260941177606583,0.1434878259897232,1.3810416460037231,0.06260941177606583,0.01036873273551464,0.48300182819366455,0.33028504252433777,0.5841776728630066,0.7170350551605225,0.5574240684509277,0.6342194080352783,0.1434878259897232,0.04887061566114426,0.00390047300606966,0.0012557916343212128,0.47349268198013306,0.02590583637356758,273.06329345703125,190.96829223632812,35.24211120605469,41.252220153808594,293.3251037597656,0.04452253878116608,0.16091668605804443,0.8095782995223999,3.055447578430176,1.031000018119812,0.029072389006614685,0.03599998727440834,2.6167941093444824,0.5,0.10874025523662567,0.33000147342681885,0.03832000494003296,0.7210522890090942,0.7930348515510559,0.9227745532989502,0.4966629445552826,0.5040692090988159,0.8889021873474121,0.4283217787742615,0.2231602817773819,0.7750730514526367,0.5149493217468262,0.8592501878738403,0.9757895469665527,0.957431435585022,0.1236545592546463,0.21835124492645264,1.0,0.02800000086426735,0.004999999888241291,0.023000001907348633,1.031,0.7852359331428831,1.721504177778337,0.10182697449848267,0.5747043087748149,0.8467792245683183,0.7963789349519977,0.22106699360407528,0.07180713502425001,0.14536194503307343,0.03463799133896828,187.85052430942847,0.5879324674606323,0.8139246106147766,0.9020139575004578,0.2042488157749176,0.5956412553787231,0.3879086673259735,0.476687490940094,0.44727420806884766,0.957431435585022,0.9769999980926514,0.6589133070829587,"progress_score,survival_score,lateral_score,yaw_score,orientation_score"
