iteration,reward,done_rate,edge_reset_rate,vx_err,weighted_metric_reward,selector_reference_penalty,orientation_penalty,slip_penalty,lateral_velocity_penalty,lateral_position_penalty,clearance_reward,gait_switch_penalty,action_boundary_penalty,policy_loss,value_loss,entropy,adaptation_loss,alpha,z_teacher_mean,z_teacher_std,z_student_mean,z_student_std,z_error,log_std_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,gait_pronk_ratio,gait_trot_ratio,gait_bound_ratio,gait_pace_ratio,gait_switch_rate,rough_slope_trot_robustness_trot_ratio,rough_slope_trot_robustness_count,rough_slope_trot_robustness_gait_switch_rate,rough_slope_trot_robustness_pronk_ratio,rough_slope_trot_robustness_bound_ratio,rough_slope_trot_robustness_pace_ratio,frequency_mean,duration_mean,footswing_height_mean,stance_width_mean,body_pitch_mean,action_clip_rate,rough_slope_trot_robustness_action_clip_rate,rough_slope_trot_robustness_frequency_mean,rough_slope_trot_robustness_duration_mean,rough_slope_trot_robustness_footswing_height_mean,rough_slope_trot_robustness_stance_width_mean,rough_slope_trot_robustness_body_pitch_mean
0,0.7386392988264561,0.0010986328125,0.0,0.3865095553919673,0.7386392988264561,0.38153076171875,0.034457189445674885,0.11104144592536613,0.0593613715027459,0.8798153332930951,0.74859619140625,0.12091064453125,0.0,-0.016392241697758436,37.66787374019623,1.3411166071891785,0.03437247418332845,1.0,-0.02413584478199482,0.0971803069114685,-0.021741513162851334,0.14107052981853485,0.012640241533517838,-0.6931471824645996,0.6210892023518682,0.4255483681336045,0.6702777724713087,0.30824881652370095,0.32057930156588554,0.5805040830746293,0.4159692176617682,0.4266177318095288,0.706419050693512,0.4627281157299876,0.74859619140625,0.7909056637436152,0.7610185593366623,1.0,1.0,0.999780273064971,0.265869140625,0.2369384765625,0.2218017578125,0.275390625,0.22391632199287415,0.2369384765625,256,0.22391632199287415,0.265869140625,0.2218017578125,0.275390625,2.869140625,0.5,0.09921874105930328,0.35402345657348633,0.0,0.0,0.0,2.8623046875,0.5,0.09988769143819809,0.3548596501350403,0.0
1,0.7290497124195099,0.022705078125,0.0042480469346628524,0.3444862114265561,0.7290497124195099,0.38177490234375,0.042907154420390725,0.0768016695510596,0.05606248427648097,3.8380749225616455,0.745361328125,0.119140625,0.0,-0.01209142676088959,22.6480553150177,1.3311624452471733,0.011249145551119,1.0,-0.017952198162674904,0.09522482752799988,-0.018798785284161568,0.12969441711902618,0.007897812873125076,-0.6931471824645996,0.6790134273469448,0.4524124674499035,0.610420404933393,0.315493393689394,0.3153399107977748,0.6121552642434835,0.26144694490358233,0.44778451696038246,0.7365439087152481,0.49453131575137377,0.745361328125,0.7939666174352169,0.7645170241594315,1.0,1.0,0.9997070357203484,0.2728271484375,0.2364501953125,0.2235107421875,0.2672119140625,0.23916329443454742,0.2364501953125,256,0.23916329443454742,0.2728271484375,0.2235107421875,0.2672119140625,2.859375,0.5,0.09999999403953552,0.35500001907348633,0.0,0.0,0.0,2.86639404296875,0.5,0.09962890297174454,0.35453614592552185,0.0
2,0.7338371071964502,0.0162353515625,0.003100586010987172,0.3327135844156146,0.7338371071964502,0.38360595703125,0.04366404330357909,0.08653759118169546,0.06208801572211087,3.4167948439717293,0.7489013671875,0.117431640625,0.0,-0.007250942013342865,32.68792271614075,1.3221240192651749,0.006700789526803419,1.0,-0.019385874271392822,0.09568878263235092,-0.019289400428533554,0.11473335325717926,0.005280596204102039,-0.6931471824645996,0.6862318906933069,0.4477385487407446,0.6252419482916594,0.31592319440096617,0.31947378255426884,0.6082416977733374,0.2824487444013357,0.4666696907952428,0.7360157798975706,0.48983179219067097,0.7489013671875,0.796922018751502,0.7678948454558849,1.0,1.0,0.9998535178601742,0.2694091796875,0.2327880859375,0.2337646484375,0.2640380859375,0.23651713132858276,0.2327880859375,256,0.23651713132858276,0.2694091796875,0.2337646484375,0.2640380859375,2.857421875,0.5,0.10015624761581421,0.3551953136920929,0.0,0.0,0.0,2.86798095703125,0.5,0.09991210699081421,0.3548901677131653,0.0
3,0.7377165164798498,0.0177001953125,0.003442382916546194,0.32254696637392044,0.7377165164798498,0.37200927734375,0.03960017574718222,0.08399061998352408,0.05312521860469133,2.875953622162342,0.74224853515625,0.11712646484375,0.0,-0.009034507034812123,35.90154194831848,1.3072844818234444,0.0046874520485289395,1.0,-0.0199512280523777,0.09587830305099487,-0.01985328271985054,0.10940241068601608,0.004013700410723686,-0.6931471824645996,0.6919385436922312,0.4456455996260047,0.6309674642980099,0.31657143123447895,0.3200731687247753,0.6062418129295111,0.31435707677155733,0.47051527444273233,0.73545884154737,0.4900341359898448,0.74224853515625,0.7974497620016336,0.7684980276972055,1.0,1.0,0.9999023452401161,0.259521484375,0.2559814453125,0.223876953125,0.2606201171875,0.23361894488334656,0.2559814453125,256,0.23361894488334656,0.259521484375,0.223876953125,0.2606201171875,2.87890625,0.5,0.09921874105930328,0.35402345657348633,0.0,0.0,0.0,2.86968994140625,0.5,0.09937988221645355,0.3542248606681824,0.0
4,0.7350930888205767,0.0166015625,0.003222656314392225,0.3230008063837886,0.7350930888205767,0.38055419921875,0.039803732943255454,0.0820303016807884,0.05419645004440099,3.4278156235814095,0.74359130859375,0.11761474609375,0.0,-0.007496801146771759,42.05253195762634,1.3011552095413208,0.003855302871670574,1.0,-0.019460376352071762,0.09555492550134659,-0.019390391185879707,0.10636422038078308,0.0034363497979938984,-0.6931471824645996,0.68983712233603,0.45418822579085827,0.6277928333729506,0.31438760831952095,0.3206096673384309,0.6134189795702696,0.2887512715533376,0.45735753793269396,0.7343816552311182,0.4950010981410742,0.74359130859375,0.7966053653508425,0.7675329372286797,1.0,1.0,0.9999023452401161,0.27392578125,0.2388916015625,0.2325439453125,0.254638671875,0.23702116310596466,0.2388916015625,256,0.23702116310596466,0.27392578125,0.2325439453125,0.254638671875,2.8828125,0.5,0.09953124821186066,0.35441407561302185,0.0,0.0,0.0,2.8726806640625,0.5,0.0994873046875,0.35435914993286133,0.0
5,0.7334308270365,0.0184326171875,0.0035400391552684596,0.32858778163790703,0.7334308270365,0.37261962890625,0.03863999556051567,0.08789273339789361,0.05393547599669546,3.2749522775411606,0.7431640625,0.1173095703125,0.0,-0.012547312915557995,44.464298248291016,1.2878241837024689,0.003193833807017654,1.0,-0.01967918872833252,0.09613849222660065,-0.019679201766848564,0.10380537062883377,0.002789357677102089,-0.6931471824645996,0.6853363588452339,0.4480680478736758,0.6236617173999548,0.3176815016195178,0.3195183305069804,0.6085364148020744,0.2894734516739845,0.46436458360403776,0.7300180662423372,0.4917947258800268,0.7431640625,0.7971331086009741,0.7681361194700003,1.0,1.0,0.9998535178601742,0.2589111328125,0.2547607421875,0.2354736328125,0.2508544921875,0.23739919066429138,0.2547607421875,256,0.23739919066429138,0.2589111328125,0.2354736328125,0.2508544921875,2.8828125,0.5,0.09984374046325684,0.3548046946525574,0.0,0.0,0.0,2.87457275390625,0.5,0.09945312142372131,0.3543164134025574,0.0
6,0.7340824287384748,0.0172119140625,0.003295898522992502,0.3291518818587065,0.7340824287384748,0.3724365234375,0.04173076094593853,0.08328930800780654,0.05430715891998261,3.5774348452687263,0.74755859375,0.117431640625,0.0,-0.010530613275477663,39.37285757064819,1.2802600711584091,0.002791008635540493,1.0,-0.01928022876381874,0.09590332210063934,-0.019339241087436676,0.10260111838579178,0.0024454451631754637,-0.6931471824645996,0.6875126603990793,0.4571777619421482,0.6227817516773939,0.3155341623350978,0.3195076286792755,0.6164215318858624,0.2857207674533129,0.46901768539100885,0.7348483819514513,0.48958860989660025,0.74755859375,0.7969220075756311,0.7678948529064655,1.0,1.0,0.9998535178601742,0.249755859375,0.255126953125,0.2576904296875,0.2374267578125,0.23651713132858276,0.255126953125,256,0.23651713132858276,0.249755859375,0.2576904296875,0.2374267578125,2.8671875,0.5,0.1015624925494194,0.35695314407348633,0.0,0.0,0.0,2.88128662109375,0.5,0.09980468451976776,0.35475584864616394,0.0
7,0.7385131679475307,0.017578125,0.0033691407279548002,0.3265894930809736,0.7385131679475307,0.3751220703125,0.03965512849390507,0.08535167772788554,0.05281428329180926,2.758211635053158,0.74664306640625,0.11627197265625,0.0,-0.011789779731770977,36.527647972106934,1.2662222981452942,0.002345407323446125,1.0,-0.02035948634147644,0.09571033716201782,-0.020364675670862198,0.09963666647672653,0.0021003875881433487,-0.6931471824645996,0.6856128312647343,0.4514569202437997,0.6317985411733389,0.3155165147036314,0.32004393823444843,0.6113284509629011,0.3310299273580313,0.4658029228448868,0.7324602361768484,0.49040841590613127,0.74664306640625,0.7989274449646473,0.7701869457960129,1.0,1.0,0.9998535178601742,0.2569580078125,0.249755859375,0.247802734375,0.2454833984375,0.23450100421905518,0.249755859375,256,0.23450100421905518,0.2569580078125,0.247802734375,0.2454833984375,2.900390625,0.5,0.09874999523162842,0.35343754291534424,0.0,0.0,0.0,2.87725830078125,0.5,0.0997314453125,0.35466432571411133,0.0
8,0.7385078966617584,0.0184326171875,0.0035644532035803422,0.32295205537229776,0.7385078966617584,0.376953125,0.03923362831119448,0.07781540043652058,0.05155530117917806,3.2715063095092773,0.74798583984375,0.1187744140625,0.0,-0.013419808237813413,35.48459494113922,1.2539988830685616,0.0020501890758168884,1.0,-0.01932358369231224,0.09544916450977325,-0.018885796889662743,0.09937930107116699,0.0018545640632510185,-0.6931471824645996,0.6939283367246389,0.45278221275657415,0.631632424890995,0.3190754298120737,0.33030873630195856,0.6123803574591875,0.29855444468557835,0.46484095323830843,0.7444165423512459,0.49799321684986353,0.74798583984375,0.7945999149233103,0.7652408350259066,1.0,1.0,0.9998779315501451,0.2579345703125,0.24609375,0.24462890625,0.2513427734375,0.23916329443454742,0.24609375,256,0.23916329443454742,0.2579345703125,0.24462890625,0.2513427734375,2.87109375,0.5,0.10062499344348907,0.35578128695487976,0.0,0.0,0.0,2.87432861328125,0.5,0.09983886033296585,0.3547986149787903,0.0
9,0.7375025674700737,0.0166015625,0.0033203125858563,0.2984959641471505,0.7375025674700737,0.37640380859375,0.0385105594759807,0.07865293137729168,0.049075817805714905,3.367401845753193,0.753662109375,0.11663818359375,0.0,-0.013620021811220795,29.837140560150146,1.2404750138521194,0.0017420399017282762,1.0,-0.019888680428266525,0.09542350471019745,-0.02013823576271534,0.09812301397323608,0.001597598777152598,-0.6931471824645996,0.7109374366700649,0.4653185326606035,0.623480087146163,0.3136045504361391,0.32499443273991346,0.6249750126153231,0.2784285480156541,0.47305495105683804,0.7401126399636269,0.4962103273719549,0.753662109375,0.7982941530644894,0.7694631274789572,1.0,1.0,1.0,0.2454833984375,0.2471923828125,0.2725830078125,0.2347412109375,0.23550906777381897,0.2471923828125,256,0.23550906777381897,0.2454833984375,0.2725830078125,0.2347412109375,2.89453125,0.5,0.1003125011920929,0.35539060831069946,0.0,0.0,0.0,2.88262939453125,0.5,0.10029296576976776,0.35536623001098633,0.0
