task_id,cmd_vx,rank_by_neutral,gait,neutral_score,gap_to_best_neutral,live_weighted_reward,vx_abs_error,fall_rate,lateral_offset_abs,scuffing_ratio,foot_impact_vel_sum,transport_cost_proxy,frequency,duration,footswing_height,stance_width,body_pitch
ramp_up_trot_robustness,1.00,2,trotting,0.844724,0.009146,0.720370,0.128960,0.012000,1.787815,0.045167,0.607589,164.034334,2.610192,0.500000,0.109235,0.368980,0.038980
ramp_up_trot_robustness,1.00,3,pacing,0.811781,0.042089,0.826240,0.149563,0.016000,1.520730,0.040583,0.469896,174.450563,2.500000,0.500000,0.120000,0.380001,0.000000
ramp_up_trot_robustness,1.00,4,bounding,0.773107,0.080763,0.680021,0.171456,0.014000,1.798235,0.043833,0.818115,221.113883,3.389812,0.500000,0.120000,0.380001,0.038980
ramp_up_trot_robustness,1.50,1,pronking,0.776433,0.000000,0.722706,0.247610,0.021000,1.685774,0.046667,0.874175,189.427452,3.000000,0.500000,0.108886,0.368514,0.038515
ramp_up_trot_robustness,1.50,2,trotting,0.763098,0.013335,0.709393,0.246396,0.019000,1.633479,0.046167,0.726719,164.122429,3.385138,0.500000,0.051115,0.330001,0.038513
ramp_up_trot_robustness,1.50,3,pacing,0.731019,0.045414,0.727586,0.287675,0.022000,1.375932,0.027417,0.446122,170.224483,2.500000,0.500000,0.120000,0.380001,0.038355
ramp_up_trot_robustness,1.50,4,bounding,0.688865,0.087568,0.686503,0.284554,0.022000,1.585453,0.034333,0.730895,188.283700,3.000000,0.500000,0.091168,0.380001,0.000000
ramp_up_trot_robustness,2.00,1,pronking,0.654758,0.000000,0.712562,0.421378,0.023000,1.504462,0.055750,0.926503,198.491050,3.000000,0.500000,0.108605,0.330001,0.038139
ramp_up_trot_robustness,2.00,2,trotting,0.635182,0.019576,0.698502,0.445825,0.022000,1.420613,0.049750,0.765712,179.366564,3.000000,0.500000,0.051297,0.291729,0.000000
ramp_up_trot_robustness,2.00,3,pacing,0.588613,0.066145,0.648728,0.485434,0.029000,1.387209,0.036667,0.814728,204.288596,2.881408,0.500000,0.120000,0.380001,0.038140
ramp_up_trot_robustness,2.00,4,bounding,0.537209,0.117549,0.640422,0.496472,0.024000,1.364043,0.039417,0.980098,208.179273,3.000000,0.500000,0.091393,0.341857,-0.038143
rough_slope_trot_robustness,0.50,1,pronking,0.841523,0.000000,0.745198,0.085260,0.006000,1.507383,0.067083,0.617992,226.497479,3.394614,0.500000,0.050405,0.330001,0.039460
rough_slope_trot_robustness,0.50,2,trotting,0.830924,0.010599,0.730355,0.085423,0.005000,1.733600,0.076500,0.428745,160.533160,2.605389,0.500000,0.050405,0.290540,0.039460
rough_slope_trot_robustness,0.50,3,pacing,0.791466,0.050058,0.682821,0.097592,0.008000,1.772873,0.023833,0.275572,200.622407,2.500000,0.500000,0.120000,0.340478,0.039520
rough_slope_trot_robustness,0.50,4,bounding,0.756405,0.085119,0.664131,0.123982,0.008000,1.440964,0.082750,0.611438,234.439148,3.394586,0.500000,0.090407,0.380001,0.039457
rough_slope_trot_robustness,1.00,1,pronking,0.783244,0.000000,0.772796,0.170775,0.015000,1.675214,0.056417,0.732875,177.299532,3.000000,0.500000,0.080000,0.330001,0.038920
rough_slope_trot_robustness,1.00,2,trotting,0.773481,0.009764,0.700360,0.165395,0.018000,1.339360,0.058167,0.733553,173.123864,3.388971,0.500000,0.109172,0.368896,0.038896
rough_slope_trot_robustness,1.00,3,pacing,0.739080,0.044164,0.650316,0.175150,0.016000,1.562885,0.068000,0.670967,172.417863,2.889210,0.500000,0.120000,0.341079,0.038920
rough_slope_trot_robustness,1.00,4,bounding,0.706949,0.076296,0.656234,0.184769,0.019000,1.266937,0.070167,0.608772,177.217012,3.388611,0.500000,0.090855,0.380001,0.038860
rough_slope_trot_robustness,1.50,1,pronking,0.669597,0.000000,0.674544,0.312988,0.020000,1.539078,0.073083,0.722221,173.789468,3.385661,0.500000,0.108924,0.291435,0.038565
rough_slope_trot_robustness,1.50,2,trotting,0.660943,0.008654,0.676756,0.322896,0.023000,1.034042,0.067917,0.718945,173.284674,3.384993,0.500000,0.080000,0.368498,0.038498
rough_slope_trot_robustness,1.50,3,pacing,0.651825,0.017773,0.683942,0.293436,0.022000,1.336469,0.058250,0.742415,179.267565,2.885223,0.500000,0.120000,0.380001,0.000000
rough_slope_trot_robustness,1.50,4,bounding,0.633815,0.035782,0.646589,0.301187,0.018000,1.392321,0.056917,0.917203,202.107323,3.385608,0.500000,0.120000,0.341439,0.038560
rough_slope_trot_robustness,2.00,1,trotting,0.542754,0.000000,0.647185,0.492715,0.024000,1.352321,0.072250,0.708083,189.163520,2.617991,0.500000,0.108651,0.330001,0.038200
rough_slope_trot_robustness,2.00,2,pacing,0.510900,0.031854,0.619046,0.540759,0.023000,1.365992,0.070083,0.739114,211.751879,2.500000,0.500000,0.120000,0.341834,0.000000
rough_slope_trot_robustness,2.00,3,pronking,0.441403,0.101351,0.644081,0.648753,0.024000,1.292583,0.073167,0.807897,214.206674,3.000000,0.500000,0.080000,0.368273,-0.038273
rough_slope_trot_robustness,2.00,4,bounding,0.423651,0.119103,0.603445,0.640531,0.017000,1.657110,0.063833,0.823436,243.284285,3.000000,0.500000,0.120000,0.380001,-0.038320
stepping_stones_easy_bound_highspeed,1.70,1,pacing,0.595277,0.000000,0.664387,0.462065,0.019000,1.388187,0.113500,0.729700,222.920377,2.885609,0.500000,0.120000,0.380001,0.038560
stepping_stones_easy_bound_highspeed,1.70,2,pronking,0.592817,0.002460,0.684077,0.470062,0.019000,1.607630,0.117417,0.948664,223.381818,3.385609,0.500000,0.108920,0.368560,0.000000
stepping_stones_easy_bound_highspeed,1.70,3,trotting,0.581877,0.013400,0.675426,0.516735,0.021000,1.308875,0.114167,0.640178,222.927316,2.614992,0.500000,0.108875,0.291500,0.000000
stepping_stones_easy_bound_highspeed,1.70,4,bounding,0.578667,0.016610,0.660197,0.492659,0.021000,1.577707,0.109917,0.690909,238.861687,2.614520,0.500000,0.120000,0.341452,0.038547
stepping_stones_easy_bound_highspeed,2.00,1,pacing,0.565577,0.000000,0.715638,0.587498,0.025000,1.770106,0.101750,0.569065,211.345583,2.500000,0.500000,0.120000,0.380001,0.038440
stepping_stones_easy_bound_highspeed,2.00,2,trotting,0.537082,0.028495,0.676105,0.687500,0.020000,1.319588,0.113167,0.646136,228.842888,2.615022,0.500000,0.108873,0.330001,0.000000
stepping_stones_easy_bound_highspeed,2.00,3,bounding,0.518737,0.046840,0.712734,0.685621,0.018000,1.238118,0.103500,0.732745,260.044628,2.615010,0.500000,0.120000,0.380001,0.000000
stepping_stones_easy_bound_highspeed,2.00,4,pronking,0.504822,0.060755,0.676362,0.759363,0.020000,1.573500,0.120500,0.748250,261.752057,3.000000,0.500000,0.080000,0.330001,0.038622
