iteration,reward,done_rate,edge_reset_rate,vx_err,weighted_metric_reward,selector_reference_penalty,orientation_penalty,slip_penalty,lateral_velocity_penalty,lateral_position_penalty,clearance_reward,gait_switch_penalty,action_boundary_penalty,policy_loss,value_loss,entropy,adaptation_loss,alpha,z_teacher_mean,z_teacher_std,z_student_mean,z_student_std,z_error,log_std_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,gait_pronk_ratio,gait_trot_ratio,gait_bound_ratio,gait_pace_ratio,gait_switch_rate,ramp_up_trot_robustness_trot_ratio,ramp_up_trot_robustness_count,ramp_up_trot_robustness_gait_switch_rate,ramp_up_trot_robustness_pronk_ratio,ramp_up_trot_robustness_bound_ratio,ramp_up_trot_robustness_pace_ratio,frequency_mean,duration_mean,footswing_height_mean,stance_width_mean,body_pitch_mean,action_clip_rate,ramp_up_trot_robustness_action_clip_rate,ramp_up_trot_robustness_frequency_mean,ramp_up_trot_robustness_duration_mean,ramp_up_trot_robustness_footswing_height_mean,ramp_up_trot_robustness_stance_width_mean,ramp_up_trot_robustness_body_pitch_mean
0,0.7895760461688042,0.003173828125,0.00019531250472937245,0.3566810665652156,0.7895760461688042,0.39080810546875,0.026386678968265187,0.0886591225862503,0.06085161957889795,1.0027542228079256,0.7645263671875,0.12066650390625,0.0,-0.015901546634268016,44.381173491477966,1.3315212056040764,0.04380020941607654,1.0,0.009554116055369377,0.1332312524318695,0.009782541543245316,0.1832527220249176,0.01587403193116188,-0.6931471824645996,0.6558926715515554,0.4936805469915271,0.6876187017187476,0.33222527150064707,0.3339263843372464,0.6475332332774997,0.39803465036675334,0.4238683868552252,0.7242758376523852,0.4702020091935992,0.7645263671875,0.7913278648629785,0.7615011017769575,1.0,1.0,0.9995605479925871,0.2525634765625,0.2183837890625,0.2703857421875,0.2586669921875,0.2265625,0.2183837890625,256,0.2265625,0.2525634765625,0.2703857421875,0.2586669921875,2.875,0.5,0.10015624761581421,0.3551953136920929,0.0,0.0,0.0,2.87066650390625,0.5,0.10116210579872131,0.3564526438713074,0.0
1,0.7999415341764688,0.0220947265625,0.004370117298094556,0.270035567227751,0.7999415341764688,0.3890380859375,0.022394327679648995,0.04932157858274877,0.049327401677146554,3.27662593126297,0.7655029296875,0.1181640625,0.0,-0.011445961630670354,25.51784873008728,1.3197328075766563,0.0107059458096046,1.0,0.009647220373153687,0.1332664042711258,0.009605782106518745,0.15940548479557037,0.007368197664618492,-0.6931471824645996,0.7499279528856277,0.5440326929092407,0.71093157120049,0.34369772765785456,0.3556714169681072,0.7013258785009384,0.2841949686408043,0.46930464170873165,0.7629834655672312,0.49637320078909397,0.7655029296875,0.7956554144620895,0.7664472013711929,1.0,1.0,0.9999511726200581,0.2470703125,0.221923828125,0.2877197265625,0.2432861328125,0.23513104021549225,0.221923828125,256,0.23513104021549225,0.2470703125,0.2877197265625,0.2432861328125,2.884765625,0.5,0.1003125011920929,0.35539063811302185,0.0,0.0,0.0,2.87835693359375,0.5,0.10124023258686066,0.35655033588409424,0.0
2,0.8027372602373362,0.0177001953125,0.003540039138897555,0.25622947979718447,0.8027372602373362,0.38458251953125,0.02202892058994621,0.05278426455333829,0.04304135125130415,3.5358550027012825,0.75244140625,0.11798095703125,0.0,-0.006450913555454463,35.9896035194397,1.316103920340538,0.006445819220971316,1.0,0.009763426147401333,0.13312599062919617,0.010806167498230934,0.14468525350093842,0.005067269317805767,-0.6931471824645996,0.7695339564234018,0.5566810332238674,0.7189693227410316,0.34957840479910374,0.3566433573141694,0.7122839502990246,0.2788144499063492,0.48273367155343294,0.7613495346158743,0.4970232816413045,0.75244140625,0.7959720641374588,0.7668091095983982,1.0,1.0,1.0,0.2642822265625,0.2308349609375,0.2720947265625,0.2327880859375,0.234375,0.2308349609375,256,0.234375,0.2642822265625,0.2720947265625,0.2327880859375,2.8828125,0.5,0.10062499344348907,0.3557812571525574,0.0,0.0,0.0,2.88360595703125,0.5,0.10019530355930328,0.35524415969848633,0.0
3,0.8001064285635948,0.0191650390625,0.003808593819485395,0.26728349830955267,0.8001064285635948,0.3853759765625,0.021756561647634953,0.05177209316752851,0.04668811475858092,3.5467048659920692,0.75604248046875,0.119140625,0.0,-0.009587870619725436,43.46013021469116,1.2896954491734505,0.004603583249263465,1.0,0.00999047514051199,0.13296790421009064,0.010212842375040054,0.14548853039741516,0.003856859402731061,-0.6931471824645996,0.7470002360641956,0.5430718939751387,0.7172334957867861,0.3479805300012231,0.35883574560284615,0.7009310685098171,0.28876553010195494,0.47941499575972557,0.7612450141459703,0.4941863799467683,0.75604248046875,0.7939666137099266,0.7645170111209154,1.0,1.0,0.999975586310029,0.2586669921875,0.229248046875,0.2750244140625,0.237060546875,0.23513104021549225,0.229248046875,256,0.23513104021549225,0.2586669921875,0.2750244140625,0.237060546875,2.849609375,0.5,0.10265624523162842,0.35832032561302185,0.0,0.0,0.0,2.8814697265625,0.5,0.10048338770866394,0.35560426115989685,0.0
4,0.8024116475135088,0.015625,0.0030761719190195436,0.25983064994215965,0.8024116475135088,0.3861083984375,0.022598536568693817,0.055285796406678855,0.04521216475404799,3.2483844235539436,0.76043701171875,0.1180419921875,0.0,-0.0037712940538767725,44.87847375869751,1.279842771589756,0.003712894453201443,1.0,0.009521201252937317,0.1329360157251358,0.008327998220920563,0.14263519644737244,0.003346189623698592,-0.6931471824645996,0.755603862926364,0.5486185699701309,0.712833184748888,0.3459847792983055,0.35436016228049994,0.7035737559199333,0.30520241521298885,0.4783674217760563,0.7593257762491703,0.493390541523695,0.76043701171875,0.7958665080368519,0.7666884809732437,1.0,1.0,0.9999511726200581,0.2513427734375,0.227783203125,0.2674560546875,0.25341796875,0.23550906777381897,0.227783203125,256,0.23550906777381897,0.2513427734375,0.2674560546875,0.25341796875,2.880859375,0.5,0.10265624523162842,0.35832032561302185,0.0,0.0,0.0,2.873291015625,0.5,0.10083495825529099,0.3560436964035034,0.0
5,0.7996050585061312,0.01806640625,0.003588867270082119,0.2760355812497437,0.7996050585061312,0.386962890625,0.02346095535904169,0.05210705962963402,0.05139944062102586,3.473001606762409,0.75628662109375,0.1180419921875,0.0,-0.011022484744898975,52.32309699058533,1.250310279428959,0.003228353729355149,1.0,0.010299460962414742,0.13290658593177795,0.009205584414303303,0.14041821658611298,0.0028414144180715084,-0.6931471824645996,0.7441590763628483,0.5516497697681189,0.7103334367275238,0.34800292644649744,0.35393611807376146,0.7081363182514906,0.2852921988815069,0.46933254785835743,0.7628905791789293,0.4920943100005388,0.75628662109375,0.795866509899497,0.7666884772479534,1.0,1.0,0.999975586310029,0.2613525390625,0.22607421875,0.276611328125,0.2359619140625,0.23702116310596466,0.22607421875,256,0.23702116310596466,0.2613525390625,0.276611328125,0.2359619140625,2.87109375,0.5,0.10171873867511749,0.3571484386920929,0.0,0.0,0.0,2.88201904296875,0.5,0.10050292313098907,0.3556286692619324,0.0
6,0.8026708960533142,0.0177001953125,0.0034912110186269274,0.27138497214764357,0.8026708960533142,0.38665771484375,0.02171979664126411,0.05494350928347558,0.04893641290254891,3.2769262194633484,0.7568359375,0.1181640625,0.0,-0.011260161845711991,47.39272499084473,1.2386590763926506,0.002654527284903452,1.0,0.010129470378160477,0.13294532895088196,0.009901373647153378,0.13904458284378052,0.002332562580704689,-0.6931471824645996,0.7457304522395134,0.5516751427203417,0.7213060520589352,0.3454911997541785,0.3591040372848511,0.7078796625137329,0.3050836231559515,0.46474055759608746,0.7632890585809946,0.4944226434454322,0.7568359375,0.7956554107367992,0.7664472088217735,1.0,1.0,0.9999511726200581,0.2596435546875,0.2266845703125,0.283203125,0.23046875,0.23601309955120087,0.2266845703125,256,0.23601309955120087,0.2596435546875,0.283203125,0.23046875,2.89453125,0.5,0.09968750178813934,0.3546093702316284,0.0,0.0,0.0,2.884765625,0.5,0.10054687410593033,0.3556836247444153,0.0
7,0.8020408842712641,0.01708984375,0.003393554767171736,0.2684479206800461,0.8020408842712641,0.38409423828125,0.021712359448429197,0.05708652432076633,0.04616453207563609,3.2005550414323807,0.7584228515625,0.11822509765625,0.0,-0.011161401402205229,42.49969696998596,1.232572391629219,0.00218607546412386,1.0,0.00969307217746973,0.1329669952392578,0.009704587049782276,0.13738970458507538,0.0019504099618643522,-0.6931471824645996,0.7498704232275486,0.5521107371896505,0.7198310885578394,0.3531903736293316,0.35918322671204805,0.7079906519502401,0.29435961693525314,0.4690616624429822,0.7634126581251621,0.49708162527531385,0.7584228515625,0.7955498639494181,0.766326567158103,1.0,1.0,0.999975586310029,0.2513427734375,0.2318115234375,0.2750244140625,0.2418212890625,0.23550906777381897,0.2318115234375,256,0.23550906777381897,0.2513427734375,0.2750244140625,0.2418212890625,2.8984375,0.5,0.0989062488079071,0.3536328375339508,0.0,0.0,0.0,2.87908935546875,0.5,0.10067382454872131,0.3558422923088074,0.0
8,0.803047351539135,0.0181884765625,0.0035644532035803422,0.26624073507264256,0.803047351539135,0.3775634765625,0.02204032096778974,0.05302261910401285,0.04496401944197714,3.3743903562426567,0.75347900390625,0.1182861328125,0.0,-0.012244139215908945,40.95570683479309,1.2248814105987549,0.0019510294368956238,1.0,0.009629324078559875,0.13301981985569,0.009247392416000366,0.13629472255706787,0.001750094466842711,-0.6931471824645996,0.7485043555498123,0.5559139847755432,0.7223773673176765,0.3462508264929056,0.358638284727931,0.7104995511472225,0.2989643756300211,0.47463767789304256,0.7662327829748392,0.49725388921797276,0.75347900390625,0.7954443246126175,0.766205932945013,1.0,1.0,0.9999267589300871,0.2481689453125,0.244873046875,0.2930908203125,0.2138671875,0.23828125,0.244873046875,256,0.23828125,0.2481689453125,0.2930908203125,0.2138671875,2.85546875,0.5,0.10187499970197678,0.35734376311302185,0.0,0.0,0.0,2.89306640625,0.5,0.10027831792831421,0.3553479313850403,0.0
9,0.8030691612511873,0.018310546875,0.003613281316575012,0.2614004472270608,0.8030691612511873,0.38299560546875,0.02220538363326341,0.05240651033818722,0.04662964376620948,3.1050350442528725,0.760009765625,0.1197509765625,0.0,-0.01008752005873248,38.136961698532104,1.2113773077726364,0.0017413086534361355,1.0,0.009378647431731224,0.1330602765083313,0.009599712677299976,0.13549605011940002,0.0015828132163733244,-0.6931471824645996,0.7526346910744905,0.5507486499845982,0.7175178416073322,0.3536769235506654,0.356718547642231,0.7070894297212362,0.30433212127536535,0.4796503493562341,0.7663922440260649,0.49803660809993744,0.760009765625,0.7929111197590828,0.7633106485009193,1.0,1.0,0.9999511726200581,0.2459716796875,0.2340087890625,0.2733154296875,0.2467041015625,0.23802922666072845,0.2340087890625,256,0.23802922666072845,0.2459716796875,0.2733154296875,0.2467041015625,2.8828125,0.5,0.10140624642372131,0.3567578196525574,0.0,0.0,0.0,2.87664794921875,0.5,0.1008007824420929,0.35600095987319946,0.0
