iteration,reward,done_rate,edge_reset_rate,vx_err,weighted_metric_reward,selector_reference_penalty,orientation_penalty,slip_penalty,lateral_velocity_penalty,lateral_position_penalty,clearance_reward,gait_switch_penalty,action_boundary_penalty,policy_loss,value_loss,entropy,adaptation_loss,alpha,z_teacher_mean,z_teacher_std,z_student_mean,z_student_std,z_error,log_std_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,gait_pronk_ratio,gait_trot_ratio,gait_bound_ratio,gait_pace_ratio,gait_switch_rate,stepping_stones_easy_bound_highspeed_bound_ratio,stepping_stones_easy_bound_highspeed_count,stepping_stones_easy_bound_highspeed_gait_switch_rate,stepping_stones_easy_bound_highspeed_pronk_ratio,stepping_stones_easy_bound_highspeed_trot_ratio,stepping_stones_easy_bound_highspeed_pace_ratio,frequency_mean,duration_mean,footswing_height_mean,stance_width_mean,body_pitch_mean,action_clip_rate,stepping_stones_easy_bound_highspeed_action_clip_rate,stepping_stones_easy_bound_highspeed_frequency_mean,stepping_stones_easy_bound_highspeed_duration_mean,stepping_stones_easy_bound_highspeed_footswing_height_mean,stepping_stones_easy_bound_highspeed_stance_width_mean,stepping_stones_easy_bound_highspeed_body_pitch_mean
0,0.7349514719098806,0.002197265625,9.765625145519152e-05,0.8607335602864623,0.7349514719098806,0.3740234375,0.0530930437889765,0.26783489747322164,0.0640697002527304,1.3009003607500915,0.75250244140625,0.1212158203125,0.0,-0.01898646430345252,35.44891929626465,1.3322993218898773,0.05433576717041433,1.0,0.0242372527718544,0.08598631620407104,0.014566006138920784,0.15713050961494446,0.019387265667319298,-0.6931471824645996,0.2927224470604415,0.3223856007680297,0.6094581335783005,0.23646845016628504,0.2528824186883867,0.45771103631705046,0.34781078808009624,0.4166422513371799,0.5920121222734451,0.36271706921979785,0.75250244140625,0.7903779204934835,0.760415374301374,1.0,1.0,0.9996582083404064,0.244384765625,0.2506103515625,0.251953125,0.2530517578125,0.2270665317773819,0.251953125,256,0.2270665317773819,0.244384765625,0.2506103515625,0.2530517578125,2.87890625,0.5,0.0989062488079071,0.3536328077316284,0.0,0.0,0.0,2.87347412109375,0.5,0.10020019859075546,0.3552502691745758,0.0
1,0.7213081885129213,0.024658203125,0.0044189454238221515,0.9055328816175461,0.7213081885129213,0.37030029296875,0.054873634479008615,0.26019425271078944,0.05933279148302972,3.9944168627262115,0.7454833984375,0.11981201171875,0.0,-0.012365836737444624,19.813435435295105,1.3210564628243446,0.016165668261237442,1.0,0.024041274562478065,0.08527744561433792,0.023630527779459953,0.13869759440422058,0.011263472028076649,-0.6931471824645996,0.25913429353386164,0.3310854183509946,0.6082984060049057,0.23572511691600084,0.2592566851526499,0.4715165877714753,0.256431199144572,0.4428485566750169,0.5994257293641567,0.36787546053528786,0.7454833984375,0.7928055636584759,0.7631900068372488,1.0,1.0,0.9994873125106096,0.2645263671875,0.2445068359375,0.2593994140625,0.2315673828125,0.24143144488334656,0.2593994140625,256,0.24143144488334656,0.2645263671875,0.2445068359375,0.2315673828125,2.880859375,0.5,0.10062499344348907,0.3557812571525574,0.0,0.0,0.0,2.88421630859375,0.5,0.0996386706829071,0.3545483350753784,0.0
2,0.723885053768754,0.0164794921875,0.002685546915017767,0.8758013788610697,0.723885053768754,0.362060546875,0.05777650454547256,0.2854128899052739,0.0634159209439531,3.2824004739522934,0.74798583984375,0.11822509765625,0.0,-0.006922632688656449,29.871822357177734,1.3032635748386383,0.010448224900756031,1.0,0.024164440110325813,0.0859471783041954,0.025529097765684128,0.12322637438774109,0.008342896588146687,-0.6931471824645996,0.28222660953179,0.32528685219585896,0.5953833609819412,0.23407070664688945,0.25275201164186,0.4608905939385295,0.25880177645012736,0.4436493394896388,0.5894478913396597,0.36014772951602936,0.74798583984375,0.7955498658120632,0.7663265764713287,1.0,1.0,0.9993896540254354,0.2581787109375,0.245849609375,0.27587890625,0.2200927734375,0.23626510798931122,0.27587890625,256,0.23626510798931122,0.2581787109375,0.245849609375,0.2200927734375,2.884765625,0.5,0.0990624949336052,0.3538281321525574,0.0,0.0,0.0,2.88995361328125,0.5,0.09983886033296585,0.3547985851764679,0.0
3,0.7268177289515734,0.0205078125,0.003637695388533757,0.8606255911290646,0.7268177289515734,0.364501953125,0.051667721825651824,0.2595824543386698,0.06057393958326429,3.3127138689160347,0.7393798828125,0.11822509765625,0.0,-0.010594248829875141,35.80162477493286,1.2701121047139168,0.00698177408776246,1.0,0.024185121059417725,0.08619673550128937,0.024258321151137352,0.1122656837105751,0.005749222822487354,-0.6931471824645996,0.2844323427416384,0.3324909331277013,0.6082306243479252,0.23281944543123245,0.2596343494951725,0.4690094171091914,0.2783894259482622,0.44124405458569527,0.5927807036787271,0.36668189335614443,0.7393798828125,0.7955498713999987,0.7663265652954578,1.0,1.0,0.9995361380279064,0.279052734375,0.2421875,0.27099609375,0.207763671875,0.23651713132858276,0.27099609375,256,0.23651713132858276,0.279052734375,0.2421875,0.207763671875,2.890625,0.5,0.10124999284744263,0.3565624952316284,0.0,0.0,0.0,2.8961181640625,0.5,0.0991503894329071,0.3539380133152008,0.0
4,0.721945995464921,0.0189208984375,0.0032714844255679054,0.9066116400063038,0.721945995464921,0.353515625,0.0585806475719437,0.281152437441051,0.060805891058407724,3.316612131893635,0.75177001953125,0.11834716796875,0.0,-0.007223833614261821,37.54908728599548,1.2702743262052536,0.005582206969847903,1.0,0.024206679314374924,0.08589360117912292,0.023726902902126312,0.10681560635566711,0.0047289724461734295,-0.6931471824645996,0.2642241409048438,0.3183977445587516,0.5896340887993574,0.22627102676779032,0.24888363666832447,0.45383566059172153,0.26652875635772943,0.44204199872910976,0.5837017130106688,0.35794058814644814,0.75177001953125,0.7953387591987848,0.7660853024572134,1.0,1.0,0.9994873125106096,0.25732421875,0.2391357421875,0.29296875,0.2105712890625,0.23651713132858276,0.29296875,256,0.23651713132858276,0.25732421875,0.2391357421875,0.2105712890625,2.890625,0.5,0.1003124937415123,0.35539066791534424,0.0,0.0,0.0,2.89471435546875,0.5,0.10014159977436066,0.35517698526382446,0.0
5,0.7209502160549164,0.01611328125,0.00263671882385097,0.9034752044826746,0.7209502160549164,0.366455078125,0.059651689138263464,0.27422641683369875,0.06273859925568104,3.4312135353684425,0.7440185546875,0.11676025390625,0.0,-0.004649168782634661,38.698545694351196,1.2595791667699814,0.004386405315017328,1.0,0.02420828863978386,0.08576303720474243,0.023152142763137817,0.10237260907888412,0.0038910149596631527,-0.6931471824645996,0.2685592519119382,0.3174520405009389,0.5891268216073513,0.23213754268363118,0.25221786834299564,0.45306785125285387,0.2540161809884012,0.4553280360996723,0.5877508949488401,0.3594783842563629,0.7440185546875,0.7980830669403076,0.7692218460142612,1.0,1.0,0.9994140677154064,0.2489013671875,0.2630615234375,0.26708984375,0.220947265625,0.23500503599643707,0.26708984375,256,0.23500503599643707,0.2489013671875,0.2630615234375,0.220947265625,2.876953125,0.5,0.1003124937415123,0.35539063811302185,0.0,0.0,0.0,2.8895263671875,0.5,0.09952148050069809,0.3544018566608429,0.0
6,0.7226494867354631,0.01953125,0.00346679695394414,0.8871043249964714,0.7226494867354631,0.37823486328125,0.05281066836323589,0.26705521531403065,0.05886686174198985,3.6397773921489716,0.73736572265625,0.11798095703125,0.0,-0.013053481467068195,46.23993229866028,1.2546872720122337,0.003563237711205147,1.0,0.02392745204269886,0.08606097102165222,0.02445707470178604,0.0998271256685257,0.003092342521995306,-0.6931471824645996,0.27116926899179816,0.326332850381732,0.6076374612748623,0.23562236735597253,0.2576598902232945,0.46308025158941746,0.2578982599079609,0.44234954845160246,0.5880586635321379,0.36646497901529074,0.73736572265625,0.795972066000104,0.7668091114610434,1.0,1.0,0.9995605535805225,0.276123046875,0.2491455078125,0.2435302734375,0.231201171875,0.23601309955120087,0.2435302734375,256,0.23601309955120087,0.276123046875,0.2491455078125,0.231201171875,2.89453125,0.5,0.09749999642372131,0.3518750071525574,0.0,0.0,0.0,2.8843994140625,0.5,0.09898924827575684,0.35373660922050476,0.0
7,0.722047308459878,0.01904296875,0.0032470703754370334,0.8929125405848026,0.722047308459878,0.37286376953125,0.06079693546053022,0.274318496696651,0.06293886946514249,3.253956511616707,0.743408203125,0.11834716796875,0.0,-0.014226072351448238,43.20528769493103,1.2346165180206299,0.003113082784693688,1.0,0.0240353774279356,0.08569063991308212,0.02406027354300022,0.09747952222824097,0.0026672054082155228,-0.6931471824645996,0.27048110123723745,0.3140460280701518,0.5984513722360134,0.235065798740834,0.25269270641729236,0.44851524103432894,0.261107774451375,0.4480580072849989,0.5964915957301855,0.36284017749130726,0.743408203125,0.7953387647867203,0.7660852912813425,1.0,1.0,0.9994384814053774,0.2625732421875,0.2506103515625,0.2542724609375,0.2325439453125,0.23853325843811035,0.2542724609375,256,0.23853325843811035,0.2625732421875,0.2506103515625,0.2325439453125,2.876953125,0.5,0.10046873986721039,0.3555859625339508,0.0,0.0,0.0,2.88372802734375,0.5,0.09947265684604645,0.3543408513069153,0.0
8,0.7215149570256472,0.0179443359375,0.003149414089421043,0.8919117525219917,0.7215149570256472,0.368896484375,0.05619278398808092,0.27564340038225055,0.060054536908864975,3.401871770620346,0.739013671875,0.118896484375,0.0,-0.014101110049523413,36.917776226997375,1.2272349074482918,0.0024697059561731294,1.0,0.023900963366031647,0.08569692820310593,0.023952074348926544,0.0948839783668518,0.002185872755944729,-0.6931471824645996,0.2655243123881519,0.3235532557591796,0.600969560444355,0.2323390170931816,0.2588148470968008,0.4601663127541542,0.261075172573328,0.44035825319588184,0.5934572108089924,0.3648120705038309,0.739013671875,0.794388810172677,0.7649995628744364,1.0,1.0,0.9995605535805225,0.2628173828125,0.2591552734375,0.26220703125,0.2158203125,0.23689515888690948,0.26220703125,256,0.23689515888690948,0.2628173828125,0.2591552734375,0.2158203125,2.888671875,0.5,0.09968749433755875,0.3546094000339508,0.0,0.0,0.0,2.89208984375,0.5,0.0991210862994194,0.35390138626098633,0.0
9,0.7222864553332329,0.0213623046875,0.0036865234906144906,0.8902301080524921,0.7222864553332329,0.36566162109375,0.05276269908063114,0.27278580516576767,0.06232795515097678,3.403302453458309,0.7445068359375,0.11846923828125,0.0,-0.013033607858233154,43.287909507751465,1.2099634632468224,0.002127246647432912,1.0,0.023823220282793045,0.0860256478190422,0.023693915456533432,0.09308066219091415,0.0019257606472820044,-0.6931471824645996,0.26576005993410945,0.31991111766546965,0.6089498940855265,0.23643484665080905,0.2568938792683184,0.45723454374819994,0.25882114190608263,0.44464561715722084,0.5904517117887735,0.3646013308316469,0.7445068359375,0.7951276637613773,0.7658440247178078,1.0,1.0,0.9994140677154064,0.2589111328125,0.2520751953125,0.2686767578125,0.2203369140625,0.24143144488334656,0.2686767578125,256,0.24143144488334656,0.2589111328125,0.2520751953125,0.2203369140625,2.87890625,0.5,0.1003124937415123,0.35539066791534424,0.0,0.0,0.0,2.88983154296875,0.5,0.09956054389476776,0.35445070266723633,0.0
