iteration,reward,done_rate,edge_reset_rate,vx_err,weighted_metric_reward,selector_reference_penalty,orientation_penalty,slip_penalty,lateral_velocity_penalty,lateral_position_penalty,clearance_reward,gait_switch_penalty,action_boundary_penalty,policy_loss,value_loss,entropy,adaptation_loss,alpha,z_teacher_mean,z_teacher_std,z_student_mean,z_student_std,z_error,log_std_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,gait_pronk_ratio,gait_trot_ratio,gait_bound_ratio,gait_pace_ratio,gait_switch_rate,flat_trot_efficiency_trot_ratio,flat_trot_efficiency_count,flat_trot_efficiency_gait_switch_rate,flat_trot_efficiency_pronk_ratio,flat_trot_efficiency_bound_ratio,flat_trot_efficiency_pace_ratio,frequency_mean,duration_mean,footswing_height_mean,stance_width_mean,body_pitch_mean,action_clip_rate,flat_trot_efficiency_action_clip_rate,flat_trot_efficiency_frequency_mean,flat_trot_efficiency_duration_mean,flat_trot_efficiency_footswing_height_mean,flat_trot_efficiency_stance_width_mean,flat_trot_efficiency_body_pitch_mean
0,0.7802638728171587,0.00146484375,0.0002685546951397555,0.2782737771049142,0.7802638728171587,0.38873291015625,0.016149638606293593,0.07564747805008665,0.04291138192638755,1.4382047410576035,0.7576904296875,0.12091064453125,0.0,-0.017053228191798553,43.011223793029785,1.349723994731903,0.03505890863016248,1.0,0.022059936076402664,0.08795797824859619,0.022939462214708328,0.1406729370355606,0.012937327846884727,-0.6931471824645996,0.7273616753518581,0.5288727590814233,0.7754770070314407,0.34123155288398266,0.3542251135222614,0.6838765470311046,0.40691348537802696,0.4599490985274315,0.7359708026051521,0.4656887915916741,0.7576904296875,0.7909056656062603,0.7610185537487268,1.0,1.0,0.999975586310029,0.2620849609375,0.2225341796875,0.2437744140625,0.2716064453125,0.22517640888690948,0.2225341796875,256,0.22517640888690948,0.2620849609375,0.2437744140625,0.2716064453125,2.857421875,0.5,0.1015625,0.35695314407348633,0.0,0.0,0.0,2.86419677734375,0.5,0.1006152331829071,0.3557690382003784,0.0
1,0.7898262683302164,0.02392578125,0.004785156341313268,0.2531581409275532,0.7898262683302164,0.38287353515625,0.013689198880456388,0.04465902870288119,0.037300746131222695,3.2922059446573257,0.743896484375,0.11932373046875,0.0,-0.009697631699964404,24.503977060317993,1.3406094461679459,0.00907249576994218,1.0,0.02174629457294941,0.08802613615989685,0.01969827339053154,0.11797095090150833,0.006263285875320435,-0.6931471824645996,0.7648265864700079,0.5870535466820002,0.7928780037909746,0.37195876706391573,0.3798709437251091,0.7402284778654575,0.35259294882416725,0.4879432749003172,0.7715415358543396,0.4958478817716241,0.743896484375,0.7936499677598476,0.7641551122069359,1.0,1.0,1.0,0.2779541015625,0.2342529296875,0.224853515625,0.262939453125,0.23991934955120087,0.2342529296875,256,0.23991934955120087,0.2779541015625,0.224853515625,0.262939453125,2.861328125,0.5,0.1003124937415123,0.35539063811302185,0.0,0.0,0.0,2.8685302734375,0.5,0.09951171278953552,0.35438966751098633,0.0
2,0.7925569228827953,0.018310546875,0.003637695361248916,0.22264014231041074,0.7925569228827953,0.39178466796875,0.014237406285246834,0.05064219527412206,0.03676227270625532,3.306727945804596,0.75518798828125,0.1180419921875,0.0,-0.00677123547939118,35.435208559036255,1.3333299085497856,0.0053744257602375,1.0,0.021928291767835617,0.0883471667766571,0.020627593621611595,0.10524217784404755,0.00412575202062726,-0.6931471824645996,0.7949056290090084,0.5933910794556141,0.788601104170084,0.36717648059129715,0.37611209228634834,0.7441858984529972,0.318702663294971,0.5078128585591912,0.7733839862048626,0.49475469440221786,0.75518798828125,0.7958665154874325,0.7666884865611792,1.0,1.0,0.999975586310029,0.273193359375,0.2164306640625,0.250732421875,0.2596435546875,0.23626510798931122,0.2164306640625,256,0.23626510798931122,0.273193359375,0.250732421875,0.2596435546875,2.859375,0.5,0.09984374046325684,0.3548046946525574,0.0,0.0,0.0,2.87017822265625,0.5,0.10041503608226776,0.35551881790161133,0.0
3,0.7928341776132584,0.0184326171875,0.0036865235215373104,0.2167164133861661,0.7928341776132584,0.40087890625,0.014221493853256106,0.046713090036064386,0.03742364980280399,3.124697469174862,0.7626953125,0.11834716796875,0.0,-0.00705866192583926,40.7900230884552,1.3226090297102928,0.0036689101689262316,1.0,0.02260447107255459,0.08886338025331497,0.024192970246076584,0.10256873071193695,0.0030863897409290075,-0.6931471824645996,0.7979885749518871,0.5971546620130539,0.7857293672859669,0.36780562065541744,0.38090436067432165,0.7463513575494289,0.3398314956575632,0.4930066289380193,0.7689202856272459,0.49533677380532026,0.7626953125,0.7953387666493654,0.7660853024572134,1.0,1.0,1.0,0.2763671875,0.1982421875,0.258544921875,0.266845703125,0.2363911271095276,0.1982421875,256,0.2363911271095276,0.2763671875,0.258544921875,0.266845703125,2.884765625,0.5,0.10265624523162842,0.35832032561302185,0.0,0.0,0.0,2.8665771484375,0.5,0.10101562738418579,0.3562695384025574,0.0
4,0.7901720833033323,0.0198974609375,0.003979492255894002,0.23065879568457603,0.7901720833033323,0.38702392578125,0.014578838687157258,0.045370098494458944,0.03682452766224742,3.4735010266304016,0.7655029296875,0.1181640625,0.0,-0.005808308211271651,47.98946571350098,1.316450297832489,0.002884381581679918,1.0,0.02223644219338894,0.08889439702033997,0.022969424724578857,0.09916090965270996,0.002484627068042755,-0.6931471824645996,0.7870288491249084,0.5912917498499155,0.7830747030675411,0.36120828054845333,0.3751112688332796,0.7426799032837152,0.3158442145213485,0.5072767930105329,0.7666002418845892,0.4918370032683015,0.7655029296875,0.795655420050025,0.7664472125470638,1.0,1.0,1.0,0.2430419921875,0.2259521484375,0.2628173828125,0.2681884765625,0.23891128599643707,0.2259521484375,256,0.23891128599643707,0.2430419921875,0.2628173828125,0.2681884765625,2.865234375,0.5,0.10093749314546585,0.3561719059944153,0.0,0.0,0.0,2.86590576171875,0.5,0.10124022513628006,0.35655030608177185,0.0
5,0.7879094574600458,0.01806640625,0.0035644532090373104,0.24095928017050028,0.7879094574600458,0.4031982421875,0.01521340396720916,0.04927964322268963,0.039559454075060785,3.1833561584353447,0.77911376953125,0.1170654296875,0.0,-0.006694286043057218,46.6202712059021,1.3017340004444122,0.002356279146624729,1.0,0.021770086139440536,0.08860024809837341,0.02179919183254242,0.09688296169042587,0.0020545325241982937,-0.6931471824645996,0.7740802448242903,0.5807822812348604,0.7767521217465401,0.3566074362024665,0.3640168448910117,0.7342093847692013,0.31863713078200817,0.5013145068660378,0.7651120126247406,0.488875619135797,0.77911376953125,0.7975553013384342,0.7686186730861664,1.0,1.0,0.9999511726200581,0.2481689453125,0.193603515625,0.2777099609375,0.280517578125,0.23500503599643707,0.193603515625,256,0.23500503599643707,0.2481689453125,0.2777099609375,0.280517578125,2.84765625,0.5,0.10203124582767487,0.3575390577316284,0.0,0.0,0.0,2.8597412109375,0.5,0.10232909768819809,0.3579114079475403,0.0
6,0.7858331389725208,0.0186767578125,0.0037109375807631295,0.2381159421056509,0.7858331389725208,0.40325927734375,0.01605959644075483,0.04952235030941665,0.040511119877919555,3.354976534843445,0.78729248046875,0.11834716796875,0.0,-0.007122355527826585,44.23340940475464,1.291203297674656,0.0019494181688060053,1.0,0.022160759195685387,0.08839082717895508,0.02243831753730774,0.0955023318529129,0.0017120300326496363,-0.6931471824645996,0.7777360901236534,0.5744722429662943,0.7742936853319407,0.3468344546854496,0.3638139106333256,0.7295597400516272,0.2967376671731472,0.5047510480508208,0.763342771679163,0.48920086305588484,0.78729248046875,0.7953387591987848,0.766085296869278,1.0,1.0,0.999975586310029,0.23193359375,0.1934814453125,0.282958984375,0.2916259765625,0.23412297666072845,0.1934814453125,256,0.23412297666072845,0.23193359375,0.282958984375,0.2916259765625,2.859375,0.5,0.10046873986721039,0.3555859327316284,0.0,0.0,0.0,2.85418701171875,0.5,0.10298340022563934,0.3587292432785034,0.0
7,0.7902527637779713,0.01806640625,0.003613281329307938,0.23140532802790403,0.7902527637779713,0.3948974609375,0.015070390800246969,0.04241737426491454,0.03844116517575458,3.3456674590706825,0.777587890625,0.117431640625,0.0,-0.009123083233134821,40.673819065093994,1.2811765894293785,0.0016197729419218376,1.0,0.021368641406297684,0.08826684951782227,0.02143794298171997,0.09366970509290695,0.0014382927911356091,-0.6931471824645996,0.7845955081284046,0.587176576256752,0.7801964152604342,0.3553177174180746,0.3743191622197628,0.7402172237634659,0.311353063210845,0.506899026222527,0.77295414917171,0.4923701761290431,0.777587890625,0.7969220094382763,0.7678948473185301,1.0,1.0,1.0,0.234619140625,0.210205078125,0.2750244140625,0.2801513671875,0.234375,0.210205078125,256,0.234375,0.234619140625,0.2750244140625,0.2801513671875,2.83203125,0.5,0.10249999165534973,0.3581250309944153,0.0,0.0,0.0,2.85992431640625,0.5,0.10220701992511749,0.3577588200569153,0.0
8,0.7864675130695105,0.0185546875,0.0036865234815195436,0.24411690840497613,0.7864675130695105,0.39361572265625,0.014813898073043674,0.05167074257042259,0.037985346163623035,3.6484224423766136,0.77667236328125,0.1190185546875,0.0,-0.011894381954334676,35.96301305294037,1.2627890706062317,0.0013678188261110336,1.0,0.02190209925174713,0.08794131129980087,0.022177381440997124,0.0928230732679367,0.0012203168589621782,-0.6931471824645996,0.7726331632584333,0.5902464929968119,0.7820322886109352,0.3553325552493334,0.3790746470913291,0.7416260782629251,0.28840151336044073,0.5109758796170354,0.7689905874431133,0.4909993829205632,0.77667236328125,0.794177720323205,0.7647582963109016,1.0,1.0,0.999975586310029,0.23388671875,0.2127685546875,0.2861328125,0.2672119140625,0.23765119910240173,0.2127685546875,256,0.23765119910240173,0.23388671875,0.2861328125,0.2672119140625,2.875,0.5,0.10187499225139618,0.35734376311302185,0.0,0.0,0.0,2.86639404296875,0.5,0.10213378071784973,0.3576672673225403,0.0
9,0.7893336303532124,0.0189208984375,0.003784179742069682,0.24335512006655335,0.7893336303532124,0.39501953125,0.015964044665452093,0.058100105030462146,0.037781914114020765,3.253056488931179,0.77386474609375,0.11767578125,0.0,-0.01039535143354442,34.149402499198914,1.2553652375936508,0.001247191736183595,1.0,0.021531343460083008,0.08832920342683792,0.02141464687883854,0.09240620583295822,0.0011334953596815467,-0.6931471824645996,0.7724386714398861,0.5748434625566006,0.774155680090189,0.35259444918483496,0.373695382848382,0.7271979339420795,0.3267037170007825,0.5109906103461981,0.7683220896869898,0.4890189804136753,0.77386474609375,0.7964998129755259,0.7674123048782349,1.0,1.0,1.0,0.2423095703125,0.2099609375,0.2896728515625,0.258056640625,0.23651713132858276,0.2099609375,256,0.23651713132858276,0.2423095703125,0.2896728515625,0.258056640625,2.857421875,0.5,0.10078124701976776,0.35597658157348633,0.0,0.0,0.0,2.8709716796875,0.5,0.10190917551517487,0.3573864698410034,0.0
