gait,gait_id,grid_mode,frequency_residual,frequency,duration_residual,duration,footswing_height_residual,footswing_height,stance_width_residual,stance_width,body_pitch_residual,body_pitch,task_id,condition,cmd_vx,target_gait,samples,reward_mean,weighted_metric_reward_mean,measured_vx_mean,vx_abs_error_mean,vy_abs_mean,yaw_abs_mean,lateral_offset_abs_mean,lateral_vel_abs_mean,lateral_vel_sq_mean,base_z_vel_abs_mean,base_z_vel_sq_mean,roll_rate_abs_mean,roll_rate_sq_mean,pitch_rate_abs_mean,pitch_rate_sq_mean,yaw_rate_abs_mean,yaw_rate_sq_mean,gravity_x_sq_mean,gravity_y_sq_mean,torque_penalty_mean,slip_penalty_mean,mechanical_power_abs_mean,positive_mechanical_power_mean,contact_force_mean_mean,stance_contact_force_mean_mean,peak_contact_force_mean,swing_foot_clearance_mean_mean,scuffing_ratio_mean,foot_impact_vel_sum_mean,foot_impact_vel_sq_sum_mean,foot_impact_count_mean,forward_distance_mean,target_forward_distance_mean,actual_frequency_mean,actual_duration_mean,actual_footswing_height_mean,actual_stance_width_mean,actual_body_pitch_mean,score_progress,score_yaw_tracking,score_orientation,score_pitch_rate,score_roll_rate,score_yaw_rate,score_lateral_drift,score_vertical_bounce,score_slip,score_energy,score_clearance,score_gait_stability,score_action_smoothness,score_action_magnitude,score_action_boundary_margin,score_survival,done_rate,edge_reset_rate,fall_rate,foot_impact_rate,foot_impact_vel_mean,foot_impact_vel_rms,lateral_vel_rms,base_z_vel_rms,roll_rate_rms,pitch_rate_rms,yaw_rate_rms,orientation_rms,forward_distance_ratio,progress_deficit,transport_cost_proxy,progress_score,yaw_score,orientation_score,lateral_score,slip_score,energy_score,impact_score,scuffing_score,smoothness_score,survival_score,neutral_score
pronking,0,action_space,1.0,3.4000000953674316,0.0,0.5,1.0,0.10999999940395355,1.0,0.3700000047683716,0.0,0.0,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,bounding,1000,0.6840771436691284,0.6840771436691284,1.2426024675369263,0.4700624346733093,0.10550786554813385,0.3539794683456421,1.6076295375823975,0.10550786554813385,0.02261509746313095,0.35273808240890503,0.2155410349369049,0.8351356983184814,1.5178931951522827,0.9836883544921875,1.821678876876831,0.3539794683456421,0.28611284494400024,0.016665901988744736,0.004146303050220013,0.5098419189453125,0.13242174685001373,277.5747985839844,204.44029235839844,34.338035583496094,42.824649810791016,357.62017822265625,0.04965032637119293,0.11741665005683899,0.9486640691757202,3.2494587898254395,1.2690000534057617,0.024852052330970764,0.03400018438696861,3.3856091499328613,0.5,0.10892024636268616,0.36855971813201904,0.0,0.6068558692932129,0.5328820943832397,0.7762928009033203,0.3120226263999939,0.3843001425266266,0.6809870600700378,0.36198073625564575,0.3543914556503296,0.694441020488739,0.4767701327800751,0.8614998459815979,0.9792481660842896,0.963512659072876,0.11894962191581726,0.20012027025222778,0.9996000528335571,0.02500000037252903,0.006000000052154064,0.01900000125169754,1.269,0.7475681650629187,1.6002015476125746,0.15038316881596475,0.46426397118116425,1.2320280821281155,1.3496958460619308,0.53489517192063,0.1442643581726434,0.12426026165485382,0.04574066027998924,223.38181826903198,0.4131953716278076,0.2856423854827881,0.6595192551612854,0.127462700009346,0.07076187431812286,0.36070895195007324,0.5272073745727539,0.5559464693069458,0.963512659072876,0.9809999987483025,0.5928167304710338
trotting,1,action_space,-1.0,2.5999999046325684,0.0,0.5,1.0,0.10999999940395355,-1.0,0.2900000214576721,0.0,0.0,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,bounding,1000,0.6754257082939148,0.6754257082939148,1.1881779432296753,0.5167350769042969,0.15593653917312622,0.4570291042327881,1.3088748455047607,0.15593653917312622,0.04157906770706177,0.2085167020559311,0.10350437462329865,0.8812606930732727,1.8012430667877197,0.8087739944458008,1.4308569431304932,0.4570291042327881,0.49709534645080566,0.015575084835290909,0.008729729801416397,0.4848750829696655,0.1584731638431549,264.8773193359375,200.67442321777344,34.291542053222656,65.33265686035156,416.3963623046875,0.09311464428901672,0.11416667699813843,0.6401781439781189,2.008857250213623,0.9830000400543213,0.02376355603337288,0.03400018438696861,2.6149916648864746,0.5,0.10887537896633148,0.29149970412254333,0.0,0.5678195357322693,0.45480263233184814,0.7640857696533203,0.37698328495025635,0.36919882893562317,0.6023103594779968,0.34286561608314514,0.5935013294219971,0.6441556811332703,0.42494332790374756,0.8609389066696167,1.0,0.9704952239990234,0.12012407183647156,0.2046661674976349,0.9998000264167786,0.02500000037252903,0.004000000189989805,0.021000001579523087,0.983,0.651249339354972,1.4295448050617081,0.20390945958209433,0.32172095769983444,1.3421039701855142,1.1961843265694854,0.7050498893346524,0.1559000148707732,0.1188177801668644,0.05118314176797867,222.9273155971526,0.3436744213104248,0.12384108453989029,0.615022599697113,0.117601178586483,0.042026154696941376,0.3791777491569519,0.5999556183815002,0.5650543570518494,0.9704952239990234,0.9789999984204769,0.5818771812084473
bounding,2,action_space,-1.0,2.5999999046325684,0.0,0.5,1.0,0.11999999731779099,-1.0,0.3400000035762787,1.0,0.03999999910593033,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,bounding,1000,0.6601966023445129,0.6601966023445129,1.21894109249115,0.4926588833332062,0.1244754046201706,0.32280611991882324,1.577707052230835,0.1244754046201706,0.02905960939824581,0.22251516580581665,0.11875872313976288,0.7754156589508057,1.0050913095474243,1.9467227458953857,5.4730939865112305,0.32280611991882324,0.25785887241363525,0.027812249958515167,0.004673630464822054,0.5156450867652893,0.11664342880249023,291.1583251953125,209.71847534179688,35.05363464355469,65.88031005859375,328.6492004394531,0.0939047709107399,0.10991665720939636,0.6909087896347046,2.1709988117218018,1.00600004196167,0.024378832429647446,0.03400018438696861,2.6145195960998535,0.5,0.11999969929456711,0.3414517939090729,0.03854742646217346,0.5242903232574463,0.5405725836753845,0.6180441379547119,0.13205167651176453,0.3595081865787506,0.6931650638580322,0.33537811040878296,0.5733286142349243,0.5279561877250671,0.4089629054069519,1.0,0.9792482256889343,0.9598815441131592,0.06467956304550171,0.15189729630947113,1.0,0.024000000208616257,0.003000000026077032,0.021000001579523087,1.006,0.6867880242956325,1.4690303719643538,0.17046879303334617,0.3446138754312758,1.0025424228168225,2.3394644657509187,0.50779806263281,0.18023839885922538,0.12189416214823723,0.048106759786605835,238.86168658099157,0.37876051664352417,0.35273510217666626,0.522193193435669,0.1154521256685257,0.09701704978942871,0.35654667019844055,0.5830323696136475,0.5771902799606323,0.9598815441131592,0.9789999984204769,0.5786671499280555
pacing,3,action_space,1.0,2.9000000953674316,0.0,0.5,1.0,0.11999999731779099,1.0,0.3799999952316284,1.0,0.03999999910593033,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,bounding,1000,0.6643872857093811,0.6643872857093811,1.2609217166900635,0.4620645046234131,0.21532472968101501,0.486491858959198,1.3881865739822388,0.21532472968101501,0.07035572826862335,0.20764008164405823,0.10489659756422043,1.242879867553711,2.70729923248291,0.7068101167678833,0.963670551776886,0.486491858959198,0.510042667388916,0.01106153056025505,0.010962149128317833,0.5182225108146667,0.21161702275276184,281.08514404296875,213.4052276611328,34.45153045654297,67.61238861083984,303.757080078125,0.09015482664108276,0.11349999904632568,0.7297004461288452,2.2766051292419434,1.0859999656677246,0.025218438357114792,0.03400018438696861,2.885608673095703,0.5,0.11999969929456711,0.3800007998943329,0.03856007754802704,0.5818508267402649,0.4033295512199402,0.7626144886016846,0.40232205390930176,0.21327915787696838,0.5619739294052124,0.2489868402481079,0.5944080352783203,0.4938923120498657,0.4106884002685547,1.0,0.9792482256889343,0.9599826335906982,0.06457589566707611,0.15022847056388855,1.0,0.024000000208616257,0.004999999888241291,0.01900000125169754,1.086,0.6719156901041666,1.4478678616554368,0.26524654242538837,0.3238774421972306,1.6453872591225782,0.9816672306728416,0.714172715376971,0.14840377248767259,0.12609219178557396,0.043908730149269104,222.92037667558066,0.4257025718688965,0.09378565847873688,0.6437314748764038,0.061096470803022385,0.0145183727145195,0.35471343994140625,0.592099666595459,0.5669410228729248,0.9599826335906982,0.9809999987483025,0.5952767847399963
