candidate,task_id,condition,cmd_vx,rank,gait,score,soft_prob
balanced,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,4,trotting,0.5275968098504977,0.16788690643913642
balanced,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,1,pacing,0.529519666113298,0.5677129888225345
balanced,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,2,bounding,0.4949518704956228,0.17935303673396172
balanced,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,3,trotting,0.4945699107240547,0.17708399062644675
balanced,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,4,pronking,0.46913391119715847,0.07584998381705696
efficiency,flat_trot_efficiency,flat,0.5,1,pacing,0.7950633622822352,0.4639320280507066
efficiency,flat_trot_efficiency,flat,0.5,2,trotting,0.7758809580451012,0.24477136619867537
efficiency,flat_trot_efficiency,flat,0.5,3,pronking,0.769379229792061,0.19707814014059402
efficiency,flat_trot_efficiency,flat,0.5,4,bounding,0.7472397064141532,0.09421846561002398
efficiency,flat_trot_efficiency,flat,1.0,1,trotting,0.7669579559172105,0.33575759462656257
efficiency,flat_trot_efficiency,flat,1.0,2,pronking,0.7610491704129216,0.27573215406226187
efficiency,flat_trot_efficiency,flat,1.0,3,pacing,0.7602855372907861,0.26880212142363963
efficiency,flat_trot_efficiency,flat,1.0,4,bounding,0.7360179681397442,0.11970812988753587
efficiency,flat_trot_efficiency,flat,1.5,1,trotting,0.7067602074073096,0.4390973439560681
efficiency,flat_trot_efficiency,flat,1.5,2,pacing,0.6885461863795562,0.2392686775701473
efficiency,flat_trot_efficiency,flat,1.5,3,pronking,0.686019689593065,0.21994346474702253
efficiency,flat_trot_efficiency,flat,1.5,4,bounding,0.6628765941963399,0.10169051372676209
efficiency,flat_trot_efficiency,flat,2.0,1,trotting,0.630062182866303,0.5126695994224987
efficiency,flat_trot_efficiency,flat,2.0,2,pronking,0.6038355103893472,0.21387872869937088
efficiency,flat_trot_efficiency,flat,2.0,3,pacing,0.6001384664559738,0.18908078702227218
