candidate,task_id,condition,cmd_vx,gait,gait_id,balanced_score,neutral_score,weighted_metric_reward_mean,vx_abs_error_mean,fall_rate,lateral_offset_abs_mean,scuffing_ratio_mean,foot_impact_vel_sum_mean,transport_cost_proxy,actual_frequency_mean,actual_duration_mean,actual_footswing_height_mean,actual_stance_width_mean,actual_body_pitch_mean,efficiency_score,robustness_score,contact_safety_score
balanced,flat_trot_efficiency,flat,0.5,pacing,3.0,0.7799751062623479,0.8705127315223217,0.7565011978149414,0.0570092536509037,0.010000000707805157,1.507596731185913,0.07050000131130219,0.1513606756925583,188.00748040219793,2.5,0.5,0.11999969929456711,0.3800007998943329,-0.03939542919397354,,,
balanced,flat_trot_efficiency,flat,1.0,pronking,0.0,0.7499054958874528,0.8757946731646856,0.845299482345581,0.14050352573394775,0.017000000923871994,1.2840304374694824,0.13708333671092987,0.6514879465103149,181.93278962575167,3.000000238418579,0.5,0.08000031858682632,0.33000147342681885,0.0,,,
balanced,flat_trot_efficiency,flat,1.5,trotting,1.0,0.7006026047874582,0.8274946795900662,0.7460876703262329,0.20033486187458038,0.02200000174343586,1.3916726112365723,0.15116667747497559,0.7567058801651001,170.19010607925756,3.000000238418579,0.5,0.1088302731513977,0.29155999422073364,0.0,,,
balanced,flat_trot_efficiency,flat,2.0,trotting,1.0,0.6435705955732952,0.7434543317556381,0.7050940990447998,0.34368962049484253,0.02500000223517418,1.4564552307128906,0.14908334612846375,0.9081380367279053,184.19945806049162,3.3803353309631348,0.5,0.1085248738527298,0.29196697473526,0.0,,,
balanced,push_lateral_pace_recovery,push_lateral,1.2,trotting,1.0,0.7308314521881667,0.7010252476693728,0.8585798740386963,0.16914016008377075,0.01600000075995922,1.3474876880645752,0.16500002145767212,0.6529302000999451,147.88206300331754,3.000000238418579,0.5,0.08000031858682632,0.33000147342681885,0.0,,,
balanced,push_lateral_pace_recovery,push_lateral,1.5,trotting,1.0,0.7074962747367946,0.6853646683769348,0.7780429124832153,0.20182809233665466,0.017000000923871994,1.2660967111587524,0.1456666737794876,0.71725994348526,156.77590453336978,3.000000238418579,0.5,0.10887175053358078,0.33000147342681885,0.0,,,
balanced,push_lateral_pace_recovery,push_lateral,1.8,trotting,1.0,0.6680620679801161,0.6324254272457881,0.8286489248275757,0.3151594400405884,0.021000001579523087,1.4025923013687134,0.16558334231376648,0.7044980525970459,162.52391248824085,3.000000238418579,0.5,0.08000031858682632,0.33000147342681885,0.0,,,
balanced,ramp_up_trot_robustness,ramp_up,0.5,pacing,3.0,0.8037055309861898,0.8697455879300833,0.7662000060081482,0.09333004057407379,0.00800000037997961,1.2258853912353516,0.015166668221354485,0.1758265197277069,222.96606709062146,2.5,0.5,0.11999969929456711,0.3800007998943329,0.0,,,
balanced,ramp_up_trot_robustness,ramp_up,1.0,pacing,3.0,0.7577179885046049,0.8117809674869745,0.8262399435043335,0.14956294000148773,0.01600000075995922,1.5207295417785645,0.04058333858847618,0.46989601850509644,174.45056269260238,2.5,0.5,0.11999969929456711,0.3800007998943329,0.0,,,
balanced,ramp_up_trot_robustness,ramp_up,1.5,pronking,0.0,0.7034943423487924,0.771746365687786,0.8588616847991943,0.2443763017654419,0.02199999988079071,1.582655668258667,0.053833335638046265,0.8549742698669434,181.8362819497252,3.000000238418579,0.5,0.08000031858682632,0.33000147342681885,0.0,,,
balanced,ramp_up_trot_robustness,ramp_up,2.0,pronking,0.0,0.6192851957949725,0.6547580731984897,0.7125623226165771,0.42137789726257324,0.023000001907348633,1.5044615268707275,0.055750004947185516,0.9265031814575195,198.4910500329741,3.000000238418579,0.5,0.1086045503616333,0.33000147342681885,0.03813906013965607,,,
balanced,rough_slope_trot_robustness,rough_slope,0.5,pacing,3.0,0.7718490824442018,0.7914656732525481,0.6828205585479736,0.09759210795164108,0.00800000037997961,1.7728726863861084,0.02383333630859852,0.27557235956192017,200.62240656425897,2.5,0.5,0.11999969929456711,0.3404781222343445,0.039520133286714554,,,
balanced,rough_slope_trot_robustness,rough_slope,1.0,pacing,3.0,0.7328512662513689,0.7124401416237417,0.7699189186096191,0.2032274305820465,0.018000001087784767,1.3066754341125488,0.039750002324581146,0.45735278725624084,163.82576055735564,2.5,0.5,0.11999969929456711,0.3800007998943329,0.0,,,
balanced,rough_slope_trot_robustness,rough_slope,1.5,pacing,3.0,0.6543628684499047,0.651824773926484,0.6839420199394226,0.2934357523918152,0.02199999988079071,1.336469292640686,0.05825001001358032,0.742415189743042,179.26756528382788,2.885223388671875,0.5,0.11999969929456711,0.3800007998943329,0.0,,,
