candidate,task_id,condition,cmd_vx,gait,gait_id,balanced_score,neutral_score,weighted_metric_reward_mean,vx_abs_error_mean,fall_rate,lateral_offset_abs_mean,scuffing_ratio_mean,foot_impact_vel_sum_mean,transport_cost_proxy,actual_frequency_mean,actual_duration_mean,actual_footswing_height_mean,actual_stance_width_mean,actual_body_pitch_mean,efficiency_score,robustness_score,contact_safety_score
balanced,flat_trot_efficiency,flat,0.5,pronking,0.0,0.7568854727189649,0.8955196213225524,0.8625768423080444,0.05423619598150253,0.009000000543892384,1.295474886894226,0.1380000114440918,0.7984240055084229,245.46789435664044,3.000000238418579,0.5,0.08000031858682632,0.33000147342681885,0.0,,,
balanced,flat_trot_efficiency,flat,0.5,trotting,1.0,0.7531922757964243,0.8942034157613913,0.7780874371528625,0.06527968496084213,0.006000000052154064,1.6661655902862549,0.15841665863990784,0.4852987229824066,220.47808092925342,3.000000238418579,0.5,0.1095791608095169,0.33000147342681885,0.03943850100040436,,,
balanced,flat_trot_efficiency,flat,0.5,bounding,2.0,0.7288657429204747,0.8194695444405079,0.8596502542495728,0.1132347583770752,0.004999999888241291,1.6138672828674316,0.15174999833106995,0.7734166383743286,273.13288014912723,3.000000238418579,0.5,0.11999969929456711,0.3800007998943329,0.0,,,
balanced,flat_trot_efficiency,flat,0.5,pacing,3.0,0.7799751062623479,0.8705127315223217,0.7565011978149414,0.0570092536509037,0.010000000707805157,1.507596731185913,0.07050000131130219,0.1513606756925583,188.00748040219793,2.5,0.5,0.11999969929456711,0.3800007998943329,-0.03939542919397354,,,
balanced,flat_trot_efficiency,flat,1.0,pronking,0.0,0.7499054958874528,0.8757946731646856,0.845299482345581,0.14050352573394775,0.017000000923871994,1.2840304374694824,0.13708333671092987,0.6514879465103149,181.93278962575167,3.000000238418579,0.5,0.08000031858682632,0.33000147342681885,0.0,,,
balanced,flat_trot_efficiency,flat,1.0,trotting,1.0,0.7491427177055315,0.8677630216876665,0.8919445276260376,0.12926310300827026,0.018000001087784767,1.0688319206237793,0.1615000069141388,0.6129928231239319,145.21879293661158,3.000000238418579,0.5,0.08000031858682632,0.33000147342681885,0.0,,,
balanced,flat_trot_efficiency,flat,1.0,bounding,2.0,0.7222917940128933,0.8060942254463831,0.8377066850662231,0.16711080074310303,0.013000000268220901,1.6544439792633057,0.15658335387706757,0.6186990737915039,189.67484678898063,3.000000238418579,0.5,0.11999969929456711,0.3800007998943329,0.0,,,
balanced,flat_trot_efficiency,flat,1.0,pacing,3.0,0.7468750276348808,0.8370645376046499,0.8273964524269104,0.1323697715997696,0.015000000596046448,1.4519160985946655,0.11200001090765,0.4790070652961731,157.5882752489567,2.5,0.5,0.11999969929456711,0.3800007998943329,0.0,,,
balanced,flat_trot_efficiency,flat,1.5,pronking,0.0,0.6913120899010788,0.8119708868861198,0.7135385274887085,0.2348552942276001,0.020000001415610313,1.2943097352981567,0.1469166874885559,0.763770580291748,178.19652862381113,3.000000238418579,0.5,0.10887527465820312,0.36849966645240784,0.0,,,
balanced,flat_trot_efficiency,flat,1.5,trotting,1.0,0.7006026047874582,0.8274946795900662,0.7460876703262329,0.20033486187458038,0.02200000174343586,1.3916726112365723,0.15116667747497559,0.7567058801651001,170.19010607925756,3.000000238418579,0.5,0.1088302731513977,0.29155999422073364,0.0,,,
balanced,flat_trot_efficiency,flat,1.5,bounding,2.0,0.6697592497549274,0.7425870622197787,0.8189494013786316,0.2597246766090393,0.020000001415610313,1.3660399913787842,0.14366668462753296,0.9347209334373474,197.85185960393588,3.000000238418579,0.5,0.11999969929456711,0.3800007998943329,0.0,,,
